playlist_name,playlist_id,pos,artist_name,track_name,album_name,duration_ms,track_uri,popularity,energy,danceability,liveness,valence,track_genre
sass,12003,24,Amy Winehouse,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Back To Black,233733,spotify:track:6nLvaCZFR1wEzW3sIKpsnr,75.0,0.371,0.772,0.167,0.684,british
Hippity hop,12004,8,Avicii,Wake Me Up - Radio Edit,True,247426,spotify:track:6g1NlCpW7fgqDnWbCCDrHl,1.0,0.807,0.524,0.212,0.62,dance
Hippity hop,12004,12,Bruno Mars,It Will Rain,It Will Rain,257847,spotify:track:4rMNgxEwGWoPHIUcvB5BrB,0.0,0.835,0.572,0.082,0.468,dance
Hippity hop,12004,45,Sam Smith,I'm Not The Only One,In The Lonely Hour,239316,spotify:track:0fioLzGM8ngbD1w6fMmm45,1.0,0.487,0.684,0.0821,0.456,dance
Hippity hop,12004,46,Jason Derulo,Want to Want Me,Everything Is 4,207719,spotify:track:7oGZAicScQt96OAW4AruYy,1.0,0.643,0.772,0.0705,0.669,dance
Hippity hop,12004,47,Adele,Hello,25,295493,spotify:track:4sPmO7WMQUAf45kwMOtONw,74.0,0.43,0.578,0.0854,0.288,british
Hippity hop,12004,50,Ellie Goulding,Lights - Single Version,Bright Lights,210853,spotify:track:2bRXehD283NioREYxlohc4,0.0,0.802,0.681,0.127,0.791,dance
Hippity hop,12004,56,Ed Sheeran,Shape of You,÷,233712,spotify:track:7qiZfU4dY1lWllzX7mPBI3,86.0,0.652,0.825,0.0931,0.931,pop
summer 2k17,12005,28,Blondie,Long Time,Pollinator,275053,spotify:track:6Pt9gKCvcb970sLaTXhld1,12.0,0.807,0.522,0.201,0.442,power-pop
summer 2k17,12005,32,Dua Lipa,New Rules,Dua Lipa,208826,spotify:track:2ekn2ttSfGqwhhate0LSR0,81.0,0.7,0.762,0.153,0.608,dance
summer 2k17,12005,33,Demi Lovato,Sorry Not Sorry,Tell Me You Love Me,203760,spotify:track:3m660poUr1chesgkkjQM7P,0.0,0.643,0.705,0.262,0.884,dance
Indie,12006,1,MGMT,Time to Pretend,Oracular Spectacular/Congratulations,261000,spotify:track:1Zqy9bervYUomy12Pbm3rP,72.0,0.94,0.438,0.3,0.421,alt-rock
Indie,12006,3,MGMT,Electric Feel,Oracular Spectacular/Congratulations,229640,spotify:track:0vaf64cpnqM7COUZZkoBig,77.0,0.803,0.763,0.348,0.561,alt-rock
Indie,12006,4,MGMT,Kids,Oracular Spectacular/Congratulations,302840,spotify:track:5QldjuXcxplhjjUqLrzl6H,78.0,0.931,0.451,0.361,0.172,alt-rock
Indie,12006,7,M83,Midnight City,"Hurry Up, We're Dreaming",241440,spotify:track:1eyzqe2QqGZUmfcPZtrIyt,76.0,0.729,0.507,0.0658,0.272,french
Indie,12006,9,Cage The Elephant,Come a Little Closer,Melophobia,229346,spotify:track:4sebUbjqbcgDSwG6PbSGI0,74.0,0.778,0.44,0.151,0.304,blues
Indie,12006,31,Of Monsters and Men,Dirty Paws,My Head Is An Animal,278373,spotify:track:5g7rJvWYVrloJZwKiShqlS,70.0,0.649,0.359,0.0555,0.133,folk
Indie,12006,36,Mumford & Sons,Little Lion Man,Sigh No More,245173,spotify:track:6b5rA9rthDbZDOQp9UbOgl,68.0,0.492,0.517,0.0873,0.455,folk
Indie,12006,65,Hugo,99 Problems,Old Tyme Religion,137426,spotify:track:7hN5TKSdRb56uytwIpcUES,62.0,0.557,0.529,0.0734,0.592,folk
Indie,12006,67,Cage The Elephant,Cigarette Daydreams,Melophobia,208760,spotify:track:2tznHmp70DxMyr2XhWLOW0,79.0,0.676,0.636,0.0831,0.273,blues
Indie,12006,70,Grouplove,Tongue Tied,Never Trust A Happy Song,218013,spotify:track:0GO8y8jQk1PkHzS31d699N,79.0,0.936,0.56,0.161,0.371,alt-rock
Indie,12006,71,Beach House,Space Song,Depression Cherry,320466,spotify:track:5d8CreUdJvZejvTUo1IHLw,73.0,0.79,0.509,0.144,0.625,indie-pop
Workout,12007,4,3 Doors Down,Let Me Be Myself,3 Doors Down,228626,spotify:track:37K07PsEPk3SuYpAvjTbJO,47.0,0.699,0.495,0.113,0.492,grunge
Workout,12007,15,The Script,Hall of Fame,#3 Deluxe Version,202533,spotify:track:7wMq5n8mYSKlQIGECKUgTX,60.0,0.872,0.511,0.0975,0.511,rock
Workout,12007,28,Three Days Grace,I Hate Everything About You,Three Days Grace,231480,spotify:track:0M955bMOoilikPXwKLYpoi,72.0,0.83,0.498,0.139,0.453,grunge
Workout,12007,47,Finger Eleven,Paralyzer,Them Vs. You Vs. Me,208106,spotify:track:28IEbk5a7twNTbUEvWslUb,75.0,0.939,0.644,0.233,0.861,grunge
Workout,12007,48,Avenged Sevenfold,Hail to the King,Hail to the King,304880,spotify:track:5anCkDvJ17aznvK5TED5uo,0.0,0.916,0.58,0.126,0.68,alternative
Anna,12008,2,The Strokes,"Call It Fate, Call It Karma",Comedown Machine,204773,spotify:track:3Y4rUyw7XBCK6hGHCOt6rp,72.0,0.241,0.544,0.101,0.359,alt-rock
Anna,12008,25,The Jesus and Mary Chain,Just Like Honey,Psychocandy,182493,spotify:track:1LwP9g1Hjbs64jXM2Qsxry,61.0,0.552,0.341,0.0591,0.486,punk-rock
Anna,12008,30,Keaton Henson,Small Hands,Dear,180693,spotify:track:40jiZBsr1W3SG15AGU9227,52.0,0.525,0.649,0.121,0.603,ambient
Anna,12008,49,Joy Division,Love Will Tear Us Apart,The Best Of,206866,spotify:track:2JO3HwMRPeya8bXbtbyPcf,0.0,0.902,0.524,0.137,0.907,alt-rock
LOVE,12009,15,Ray Charles,Hit the Road Jack,Georgia On My Mind,118266,spotify:track:49fzPkBb3aOUWYRKaTWVhm,70.0,0.571,0.598,0.513,0.962,blues
LOVE,12009,17,Nina Simone,Feeling Good,I Put A Spell On You,174000,spotify:track:61S0mEfdRtJ62Fc7fPqx0U,1.0,0.414,0.428,0.238,0.508,blues
LOVE,12009,38,Bruce Springsteen,I'm On Fire,Born In The U.S.A.,154266,spotify:track:4bSWx86yHmy6OOMsQPU60F,74.0,0.446,0.62,0.0727,0.868,singer-songwriter
LOVE,12009,40,Dion,Runaround Sue,Runaround Sue,171600,spotify:track:1DndHckdH9m5rp6gYP086b,67.0,0.607,0.364,0.251,0.598,rock-n-roll
LOVE,12009,46,Frank Ocean,Thinkin Bout You,channel ORANGE,200746,spotify:track:7DfFc7a6Rwfi3YQMRbDMau,78.0,0.339,0.721,0.0973,0.2,soul
LOVE,12009,47,Michael Jackson,Dirty Diana - 2012 Remaster,Bad 25th Anniversary,280760,spotify:track:3yBlJtq86wROQpHi1goEKT,62.0,0.801,0.735,0.324,0.331,soul
LOVE,12009,48,Michael Jackson,You Are Not Alone,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",345600,spotify:track:3AoeaZs8dFemFJr3JdzOL0,67.0,0.402,0.651,0.0765,0.258,soul
LOVE,12009,50,Angus & Julia Stone,Big Jet Plane,Down The Way,239120,spotify:track:2fbXJ0VpxhW7j0qcg1DnoZ,61.0,0.387,0.762,0.13,0.274,folk
LOVE,12009,60,Mazzy Star,Fade Into You,So Tonight That I Might See,295600,spotify:track:1LzNfuep1bnAUR9skqdHCK,79.0,0.33,0.42,0.0677,0.175,alt-rock
LOVE,12009,61,Alicia Keys,If I Ain't Got You,The Diary Of Alicia Keys,228706,spotify:track:3XVBdLihbNbxUwZosxcGuJ,80.0,0.444,0.609,0.104,0.166,soul
LOVE,12009,64,Percy Sledge,When A Man Loves A Woman,When A Man Loves A Woman,173866,spotify:track:51FpzuGkRYXFgsE2zXt9av,0.0,0.272,0.404,0.0528,0.326,soul
LOVE,12009,68,Michael Jackson,Human Nature,Thriller 25 Super Deluxe Edition,245560,spotify:track:35lAjvsvS9k9HHuP1fjDT8,66.0,0.511,0.638,0.26,0.68,soul
LOVE,12009,71,Norah Jones,Come Away With Me,Come Away With Me,198146,spotify:track:0Cvjlph1WGbwZY1PlMEtJY,0.0,0.126,0.354,0.151,0.17,j-pop
LOVE,12009,80,John Mayer,Slow Dancing in a Burning Room,Continuum,242000,spotify:track:2jdAk8ATWIL3dwT47XpRfu,74.0,0.361,0.667,0.0805,0.29,singer-songwriter
LOVE,12009,81,John Mayer,Your Body Is a Wonderland,Room For Squares,249626,spotify:track:7vFv0yFGMJW3qVXbAd9BK9,74.0,0.729,0.647,0.134,0.687,singer-songwriter
LOVE,12009,86,Arctic Monkeys,Do I Wanna Know?,AM,272394,spotify:track:3rq5w4bQGigXOfdN30ATJt,88.0,0.532,0.548,0.217,0.405,garage
LOVE,12009,92,Marc Anthony,Vivir Mi Vida,3.0,252346,spotify:track:3QHMxEOAGD51PDlbFPHLyJ,76.0,0.877,0.656,0.349,0.894,salsa
LOVE,12009,110,The Notorious B.I.G.,Big Poppa,Ready To Die The Remaster,252746,spotify:track:2g8HN35AnVGIk7B8yMucww,49.0,0.671,0.765,0.0506,0.798,hardcore
80s-90s,12010,0,Tom Petty,Free Fallin',Full Moon Fever,256000,spotify:track:5tVA6TkbaAH9QMITTQRrNv,0.0,0.504,0.619,0.06,0.568,folk
80s-90s,12010,1,Dire Straits,Sultans Of Swing,Dire Straits,348624,spotify:track:3LTMnFa0hhwisyq6ILahyj,81.0,0.794,0.733,0.33,0.931,rock
80s-90s,12010,2,R.E.M.,Losing My Religion,Out Of Time,268426,spotify:track:2wVXSc0IrQVodHESUxVUJA,0.0,0.854,0.666,0.0986,0.803,alt-rock
80s-90s,12010,11,Weezer,Island In The Sun,Weezer (Green Album),200306,spotify:track:2MLHyLy5z5l5YRp7momlgw,1.0,0.794,0.654,0.165,0.678,alt-rock
80s-90s,12010,12,Weezer,Say It Ain't So,Weezer,256880,spotify:track:4YPhn26bIFm2KUkL1VLzQG,1.0,0.551,0.635,0.07,0.451,alt-rock
80s-90s,12010,13,Billy Joel,We Didn't Start the Fire,Storm Front,287733,spotify:track:3Cx4yrFaX8CeHwBMReOWXI,76.0,0.967,0.712,0.356,0.895,piano
80s-90s,12010,14,Bryan Adams,Summer Of '69,Reckless,216973,spotify:track:6N1EjQjnvhOjFrF6oUmGPa,82.0,0.834,0.508,0.0732,0.774,rock
80s-90s,12010,16,Van Morrison,Brown Eyed Girl,Blowin' Your Mind!,183306,spotify:track:3yrSvpt2l1xhsV9Em88Pul,80.0,0.583,0.491,0.406,0.908,folk
80s-90s,12010,29,Red Hot Chili Peppers,Californication,Californication,329733,spotify:track:48UPSzbZjgc449aqz8bxox,2.0,0.765,0.592,0.127,0.327,alt-rock
80s-90s,12010,31,The Offspring,Why Don't You Get A Job,Americana,172466,spotify:track:027h5P3kCyktHv9dpHUBBS,2.0,0.882,0.766,0.281,0.547,punk-rock
80s-90s,12010,32,The Offspring,Pretty Fly (For A White Guy),Americana,188666,spotify:track:51T1wGHtx6hXW89UCzw1Rc,75.0,0.895,0.723,0.0717,0.963,punk-rock
80s-90s,12010,34,Semisonic,Closing Time,Feeling Strangely Fine,273533,spotify:track:4EnkwZd0UJAuHpNMMemQaA,0.0,0.854,0.478,0.115,0.274,alt-rock
80s-90s,12010,35,The Bangles,Walk Like an Egyptian,Different Light,204560,spotify:track:3BGbqEDio3ocx1v4egIYr6,63.0,0.891,0.724,0.3,0.818,disco
80s-90s,12010,37,House Of Pain,Jump Around,House of Pain (Fine Malt Lyrics),214946,spotify:track:3TZwjdclvWt7iPJUnMpgcs,65.0,0.71,0.854,0.166,0.818,hard-rock
80s-90s,12010,39,Green Day,Good Riddance (Time of Your Life),Nimrod,153466,spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,0.0,0.432,0.449,0.161,0.645,punk
80s-90s,12010,45,Sublime,What I Got,Sublime,171066,spotify:track:5nkYHBWXu7KCgcdwP6jcB1,1.0,0.693,0.804,0.314,0.654,punk
80s-90s,12010,46,Third Eye Blind,Jumper - 1998 Edit,Third Eye Blind,272973,spotify:track:3354J49VpkbZJho7Ztdzpw,67.0,0.543,0.599,0.291,0.624,grunge
80s-90s,12010,47,Third Eye Blind,Semi-Charmed Life,Third Eye Blind,268360,spotify:track:42et6fnHCw1HIPSrdPprMl,75.0,0.864,0.64,0.123,0.701,grunge
80s-90s,12010,49,blink-182,What's My Age Again?,Blink 182 (Sound and Vision Q4 2007),148506,spotify:track:5wTMQjEx9LWeFwLjolPCUy,4.0,0.951,0.391,0.0878,0.468,punk-rock
80s-90s,12010,50,blink-182,Adam's Song,Enema Of The State,249753,spotify:track:43NhiKnrtGqztxDqXrcUux,0.0,0.775,0.52,0.364,0.383,punk-rock
80s-90s,12010,51,blink-182,All The Small Things,Enema Of The State,168000,spotify:track:12qZHAeOyTf93YAWvGDTat,2.0,0.9,0.442,0.395,0.609,punk-rock
80s-90s,12010,52,Chumbawamba,Tubthumping,Tubthumper,278960,spotify:track:5YScXJKtefsgdskIy60N7A,2.0,0.871,0.608,0.363,0.61,punk
80s-90s,12010,56,Counting Crows,Mr. Jones,August And Everything After,272506,spotify:track:5DiXcVovI0FcY2s0icWWUu,0.0,0.836,0.571,0.182,0.73,alt-rock
80s-90s,12010,59,Dexys Midnight Runners,Come On Eileen,Too Rye Ay,287306,spotify:track:0EMmVUYs9ZZRHtlADB88uz,2.0,0.769,0.45,0.306,0.604,ska
80s-90s,12010,64,RunD.M.C.,My Adidas,Discover Further,169133,spotify:track:5Go4h6tyle7zUCZXf1fET4,32.0,0.773,0.819,0.292,0.756,hardcore
80s-90s,12010,74,Stevie Wonder,Superstition - Single Version,Song Review: A Greatest Hits Collection,239120,spotify:track:5lXcSvHRVjQJ3LB2rLKQog,0.0,0.745,0.637,0.0372,0.859,funk
80s-90s,12010,84,Weezer,Say It Ain't So,Weezer,256880,spotify:track:4YPhn26bIFm2KUkL1VLzQG,1.0,0.551,0.635,0.07,0.451,alt-rock
Getting ready,12011,1,WALK THE MOON,Shut Up and Dance,TALKING IS HARD,199080,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,83.0,0.866,0.578,0.257,0.619,alt-rock
Getting ready,12011,5,Milky Chance,Stolen Dance,Sadnecessary,313684,spotify:track:6vECYJHxYmm3Ydt3fF01pE,80.0,0.581,0.884,0.0759,0.728,german
Getting ready,12011,8,X Ambassadors,Unsteady,VHS,193546,spotify:track:7lGKEWMXVWWTt3X71Bv44I,74.0,0.665,0.389,0.116,0.199,alt-rock
Country,12012,0,Luke Bryan,Country Girl (Shake It For Me),Tailgates & Tanlines,225560,spotify:track:0yD66650JxhqKbW76C2qCo,2.0,0.904,0.644,0.0834,0.672,country
Country,12012,8,Florida Georgia Line,H.O.L.Y.,Dig Your Roots,194186,spotify:track:0BCy325UZyR9z0t0uxwn2N,71.0,0.666,0.523,0.0728,0.564,country
Country,12012,15,Kip Moore,Hey Pretty Girl,Up All Night,215920,spotify:track:75p6fgACKYIyIhsoG411SZ,0.0,0.373,0.431,0.259,0.0884,country
Country,12012,28,Hunter Hayes,Wanted,Hunter Hayes (Encore),228840,spotify:track:0p1BcEcYVO3uk4KDf3gzkY,0.0,0.475,0.414,0.0816,0.3,country
Happy tunes,12013,1,Bastille,Pompeii,Bad Blood,214147,spotify:track:3gbBpTdY8lnQwqxNCcf795,1.0,0.711,0.68,0.241,0.571,rock
Happy tunes,12013,4,Imagine Dragons,On Top Of The World,Night Visions,189840,spotify:track:4eLSCSELtKxZwXnFbNLXT5,0.0,0.925,0.588,0.0881,0.759,rock
Happy tunes,12013,5,Avicii,Wake Me Up - Radio Edit,True,247426,spotify:track:6g1NlCpW7fgqDnWbCCDrHl,1.0,0.807,0.524,0.212,0.62,dance
Happy tunes,12013,7,Capital Cities,Safe And Sound,In A Tidal Wave Of Mystery,192789,spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,83.0,0.819,0.655,0.104,0.766,rock
Happy tunes,12013,8,WALK THE MOON,Shut Up and Dance,TALKING IS HARD,199080,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,83.0,0.866,0.578,0.257,0.619,alt-rock
Happy tunes,12013,12,Bruno Mars,Treasure - Cash Cash Radio Mix,Treasure Remix EP,208278,spotify:track:7dQGDSVjt1vS6BsDURjYhS,2.0,0.944,0.664,0.766,0.745,dance
baelist,12014,4,Every Avenue,Tell Me I'm A Wreck,Picture Perfect,219973,spotify:track:203zTFd1zbfG0fiOG9OREv,64.0,0.76,0.578,0.142,0.7,emo
worship,12016,1,Vertical Worship,Spirit of the Living God,Church Songs,339480,spotify:track:4xuToNvDiZHnDQVujjK49s,54.0,0.531,0.368,0.639,0.166,world-music
worship,12016,14,Chris Tomlin,Good Good Father,The Ultimate Playlist,293398,spotify:track:1CvoOXxJqC2VHwgjZxjGX5,66.0,0.587,0.429,0.108,0.164,alt-rock
All ,12017,6,Zara Larsson,Lush Life,So Good,201122,spotify:track:1rIKgCH4H52lrvDcz50hS8,78.0,0.712,0.694,0.211,0.799,dance
All ,12017,10,ZAYN,PILLOWTALK,Mind Of Mine (Deluxe Edition),202746,spotify:track:0PDUDa38GO8lMxLCRc4lL1,78.0,0.7,0.584,0.0939,0.438,dance
All ,12017,12,Shawn Mendes,Treat You Better,Illuminate,187973,spotify:track:4Hf7WnR761jpxPr5D46Bcd,84.0,0.819,0.444,0.107,0.747,dance
All ,12017,25,James Arthur,Say You Won't Let Go,Back from the Edge,211466,spotify:track:5uCax9HTNlzGybIStD3vDh,85.0,0.557,0.358,0.0902,0.494,pop
All ,12017,28,Calvin Harris,My Way,My Way,219159,spotify:track:1vvNmPOiUuyCbgWmtc6yfm,76.0,0.913,0.818,0.161,0.536,electro
All ,12017,30,Rixton,Me And My Broken Heart,Let The Road,193733,spotify:track:1oew3nFNY3vMacJAsvry0S,79.0,0.783,0.545,0.132,0.551,dance
All ,12017,36,Adele,Send My Love (To Your New Lover),25,223080,spotify:track:4BHzQ9C00ceJxfG16AlNWb,72.0,0.533,0.688,0.172,0.567,british
All ,12017,40,Ariana Grande,One Last Time,My Everything,197253,spotify:track:7bJwvubZZaoGE1AGEfu8Fi,83.0,0.593,0.628,0.096,0.104,dance
All ,12017,41,Avicii,Waiting For Love,Stories,230613,spotify:track:6nsLzJfvp5OLd4mgqUJkpq,81.0,0.736,0.579,0.198,0.613,dance
All ,12017,43,Fifth Harmony,Worth It,Reflection,224573,spotify:track:2TRFIQpTqq12xGpFJEr0Ft,64.0,0.78,0.858,0.133,0.602,dance
All ,12017,44,Daya,"Sit Still, Look Pretty","Sit Still, Look Pretty",202226,spotify:track:2DpCdPMg1BADE4HDnxt3Rd,63.0,0.787,0.655,0.178,0.554,dance
All ,12017,55,Anne-Marie,Alarm,Alarm,205593,spotify:track:0OwX5aROoW1Iip8FV51Efg,0.0,0.589,0.756,0.176,0.811,dance
All ,12017,56,The Script,Hall of Fame,#3 Deluxe Version,202533,spotify:track:7wMq5n8mYSKlQIGECKUgTX,60.0,0.872,0.511,0.0975,0.511,rock
autumn,12018,5,Of Monsters and Men,Dirty Paws,My Head Is An Animal,278373,spotify:track:5g7rJvWYVrloJZwKiShqlS,70.0,0.649,0.359,0.0555,0.133,folk
autumn,12018,35,OneRepublic,Au Revoir,Native,290480,spotify:track:3Yr2wHzUq7ncX04RjBWt4g,38.0,0.528,0.517,0.123,0.108,piano
Country Roads,12019,4,Little Big Town,Boondocks,The Road To Here,272346,spotify:track:3duP6mBVDsHM8ioN7o7dAK,0.0,0.78,0.406,0.474,0.687,country
Country Roads,12019,11,George Strait,Heartland - Pure Country/Soundtrack Version,Pure Country,138160,spotify:track:0U4R6UqrJo43TmImPku9H8,0.0,0.89,0.449,0.112,0.696,country
Country Roads,12019,22,John Denver,"Take Me Home, Country Roads","The John Denver Collection, Vol. 1: Take Me Home Country Roads",197813,spotify:track:2xYlyywNgefLCRDG8hlxZq,73.0,0.395,0.462,0.121,0.625,country
????,12020,16,Niall Horan,This Town,Flicker,232852,spotify:track:3UwT4FadEGWyMdaSwYcUBY,80.0,0.401,0.677,0.116,0.195,dance
????,12020,45,Alvaro Soler,El Mismo Sol,Eterno Agosto,188093,spotify:track:2mjqNvy3WT62V1mVZjK1nQ,1.0,0.829,0.733,0.0831,0.975,latin
????,12020,76,OneRepublic,Let's Hurt Tonight,Oh My My,194520,spotify:track:1oc4kHthIpfa2jQnIL33GE,63.0,0.713,0.359,0.324,0.272,piano
????,12020,77,Melanie Martinez,Soap,Cry Baby,209426,spotify:track:03f7xZmt2wHCIDJBFPK8G4,0.0,0.689,0.594,0.129,0.209,electro
????,12020,82,The Chainsmokers,Paris,Memories...Do Not Open,221506,spotify:track:72jbDTw1piOOj770jWNeaG,74.0,0.658,0.653,0.0939,0.219,dance
????,12020,83,Ed Sheeran,Shape of You,÷,233712,spotify:track:7qiZfU4dY1lWllzX7mPBI3,86.0,0.652,0.825,0.0931,0.931,pop
????,12020,87,EDEN,XO,i think you think too much of me,159512,spotify:track:0ZAiqymvbQUZAh9y6ZT3Rm,67.0,0.39,0.611,0.118,0.617,indie-pop
????,12020,97,EDEN,sex,i think you think too much of me,218808,spotify:track:26ZX2JrAb8AFbr8FFfAsO7,66.0,0.521,0.413,0.323,0.532,indie-pop
????,12020,110,Saint Motel,My Type,My Type,206393,spotify:track:7rqyZM53JpYj86avtfmyeg,70.0,0.896,0.595,0.0748,0.567,alt-rock
????,12020,145,Halsey,Now Or Never,hopeless fountain kingdom,214801,spotify:track:7i2DJ88J7jQ8K7zqFX2fW8,67.0,0.585,0.67,0.131,0.447,indie-pop
????,12020,146,The Chainsmokers,The One,Memories...Do Not Open,177573,spotify:track:0wfbD5rAksdXUzRvMfM3x5,59.0,0.303,0.76,0.294,0.15,edm
????,12020,148,Perfume Genius,Slip Away,No Shape,165329,spotify:track:3Gda1sTo2ZjbztjjsnAsP3,53.0,0.509,0.603,0.0627,0.572,psych-rock
????,12020,157,The Chainsmokers,Paris,Memories...Do Not Open,221506,spotify:track:72jbDTw1piOOj770jWNeaG,74.0,0.658,0.653,0.0939,0.219,dance
????,12020,182,Novo Amor,Weather,"Woodgate, NY",232026,spotify:track:7N0osVtma3QzvMOfVbdSL8,62.0,0.242,0.527,0.114,0.112,ambient
????,12020,187,Cage The Elephant,Cigarette Daydreams,Melophobia,208760,spotify:track:2tznHmp70DxMyr2XhWLOW0,79.0,0.676,0.636,0.0831,0.273,blues
????,12020,189,Cold War Kids,Love Is Mystical,LA DIVINE,214360,spotify:track:6oXUzxFOfdXbD8ivAfAraN,60.0,0.863,0.567,0.207,0.722,blues
????,12020,190,Michael Kiwanuka,Cold Little Heart - Radio Edit,Cold Little Heart,210299,spotify:track:2HL7EWAjEm5Bhpr1iWHA4C,70.0,0.58,0.629,0.436,0.655,british
Classy,12021,1,Dean Martin,Sway (Quien Sera),"Dean Martin: The Capitol Recordings, Vol. 5 (1954)",165133,spotify:track:3QyPsavxL681NX7SPVGd5T,59.0,0.239,0.601,0.0748,0.569,jazz
oct,12022,2,Dua Lipa,New Rules,Dua Lipa,208826,spotify:track:2ekn2ttSfGqwhhate0LSR0,81.0,0.7,0.762,0.153,0.608,dance
oct,12022,55,Travis Scott,goosebumps,Birds In The Trap Sing McKnight,243836,spotify:track:6gBFPUFcJLzWGx4lenP6h2,84.0,0.728,0.841,0.149,0.43,hip-hop
trap,12023,56,50 Cent,In Da Club,Get Rich Or Die Tryin',193466,spotify:track:7iL6o9tox1zgHpKUfh9vuC,83.0,0.713,0.899,0.0708,0.777,hip-hop
Feel Good Music,12024,2,The Jackson 5,I Want You Back,Diana Ross Presents The Jackson 5,176333,spotify:track:3b0EOvScbZUc0qJx0E1L2z,77.0,0.538,0.469,0.37,0.886,soul
Feel Good Music,12024,5,The Temptations,My Girl,The Temptations Sing Smokey,165000,spotify:track:6RrXd9Hph4hYR4bf3dbM6H,79.0,0.418,0.572,0.0961,0.694,funk
Feel Good Music,12024,10,The Jackson 5,ABC,ABC,174866,spotify:track:6cb0HzFQPN4BGADOmSzPCw,0.0,0.869,0.53,0.233,0.935,soul
Feel Good Music,12024,11,Stevie Wonder,Superstition - Single Version,Song Review: A Greatest Hits Collection,239120,spotify:track:5lXcSvHRVjQJ3LB2rLKQog,0.0,0.745,0.637,0.0372,0.859,funk
Feel Good Music,12024,13,Bee Gees,Stayin' Alive,Greatest,285373,spotify:track:6pyzBTIjcO2AMkKE6x2Otb,77.0,0.535,0.707,0.0884,0.641,disco
Feel Good Music,12024,14,Neil Diamond,Sweet Caroline,Sweet Caroline,203573,spotify:track:3zByVQLvdXUaDTubfWkpCk,78.0,0.127,0.529,0.237,0.578,folk
Feel Good Music,12024,16,The Beatles,Twist And Shout - Remastered 2009,Please Please Me,155226,spotify:track:4Z1fbYp0HuxLBje4MOZcSD,75.0,0.849,0.482,0.0414,0.937,british
Feel Good Music,12024,17,Stealers Wheel,Stuck In The Middle With You,Stealers Wheel,208946,spotify:track:3Vby4nGmtbDo7HDJamOWkT,0.0,0.759,0.768,0.0531,0.96,folk
Feel Good Music,12024,21,Gloria Gaynor,I Will Survive,Universal Masters Collection,197573,spotify:track:6b8IKVufOkAawvQVguQxmo,0.0,0.775,0.77,0.297,0.8,disco
Feel Good Music,12024,23,Rick James,Super Freak,Street Songs,205466,spotify:track:2dCmGcEOQrMQhMMS8Vj7Ca,3.0,0.796,0.857,0.0503,0.944,disco
