playlist_name,playlist_id,pos,artist_name,track_name,album_name,duration_ms,track_uri,popularity,energy,danceability,liveness,valence,track_genre,artist_searched,artist,album,release_date,explicit,track_id
Hippity hop,12004.0,50.0,Ellie Goulding,Lights - Single Version,Bright Lights,210853,spotify:track:2bRXehD283NioREYxlohc4,0.0,0.802,0.681,0.127,0.791,dance,,,,,,
Hippity hop,12004.0,56.0,Ed Sheeran,Shape of You,÷,233712,spotify:track:7qiZfU4dY1lWllzX7mPBI3,86.0,0.652,0.825,0.0931,0.931,pop,,,,,,
summer 2k17,12005.0,28.0,Blondie,Long Time,Pollinator,275053,spotify:track:6Pt9gKCvcb970sLaTXhld1,12.0,0.807,0.522,0.201,0.442,power-pop,,,,,,
summer 2k17,12005.0,32.0,Dua Lipa,New Rules,Dua Lipa,208826,spotify:track:2ekn2ttSfGqwhhate0LSR0,81.0,0.7,0.762,0.153,0.608,dance,,,,,,
summer 2k17,12005.0,33.0,Demi Lovato,Sorry Not Sorry,Tell Me You Love Me,203760,spotify:track:3m660poUr1chesgkkjQM7P,0.0,0.643,0.705,0.262,0.884,dance,,,,,,
Indie,12006.0,1.0,MGMT,Time to Pretend,Oracular Spectacular/Congratulations,261000,spotify:track:1Zqy9bervYUomy12Pbm3rP,72.0,0.94,0.438,0.3,0.421,alt-rock,,,,,,
Indie,12006.0,3.0,MGMT,Electric Feel,Oracular Spectacular/Congratulations,229640,spotify:track:0vaf64cpnqM7COUZZkoBig,77.0,0.803,0.763,0.348,0.561,alt-rock,,,,,,
Indie,12006.0,4.0,MGMT,Kids,Oracular Spectacular/Congratulations,302840,spotify:track:5QldjuXcxplhjjUqLrzl6H,78.0,0.931,0.451,0.361,0.172,alt-rock,,,,,,
Indie,12006.0,7.0,M83,Midnight City,"Hurry Up, We're Dreaming",241440,spotify:track:1eyzqe2QqGZUmfcPZtrIyt,76.0,0.729,0.507,0.0658,0.272,french,,,,,,
Indie,12006.0,9.0,Cage The Elephant,Come a Little Closer,Melophobia,229346,spotify:track:4sebUbjqbcgDSwG6PbSGI0,74.0,0.778,0.44,0.151,0.304,blues,,,,,,
Indie,12006.0,31.0,Of Monsters and Men,Dirty Paws,My Head Is An Animal,278373,spotify:track:5g7rJvWYVrloJZwKiShqlS,70.0,0.649,0.359,0.0555,0.133,folk,,,,,,
Indie,12006.0,36.0,Mumford & Sons,Little Lion Man,Sigh No More,245173,spotify:track:6b5rA9rthDbZDOQp9UbOgl,68.0,0.492,0.517,0.0873,0.455,folk,,,,,,
Indie,12006.0,65.0,Hugo,99 Problems,Old Tyme Religion,137426,spotify:track:7hN5TKSdRb56uytwIpcUES,62.0,0.557,0.529,0.0734,0.592,folk,,,,,,
Indie,12006.0,67.0,Cage The Elephant,Cigarette Daydreams,Melophobia,208760,spotify:track:2tznHmp70DxMyr2XhWLOW0,79.0,0.676,0.636,0.0831,0.273,blues,,,,,,
Indie,12006.0,70.0,Grouplove,Tongue Tied,Never Trust A Happy Song,218013,spotify:track:0GO8y8jQk1PkHzS31d699N,79.0,0.936,0.56,0.161,0.371,alt-rock,,,,,,
Indie,12006.0,71.0,Beach House,Space Song,Depression Cherry,320466,spotify:track:5d8CreUdJvZejvTUo1IHLw,73.0,0.79,0.509,0.144,0.625,indie-pop,,,,,,
Workout,12007.0,4.0,3 Doors Down,Let Me Be Myself,3 Doors Down,228626,spotify:track:37K07PsEPk3SuYpAvjTbJO,47.0,0.699,0.495,0.113,0.492,grunge,,,,,,
Workout,12007.0,15.0,The Script,Hall of Fame,#3 Deluxe Version,202533,spotify:track:7wMq5n8mYSKlQIGECKUgTX,60.0,0.872,0.511,0.0975,0.511,rock,,,,,,
Workout,12007.0,28.0,Three Days Grace,I Hate Everything About You,Three Days Grace,231480,spotify:track:0M955bMOoilikPXwKLYpoi,72.0,0.83,0.498,0.139,0.453,grunge,,,,,,
Workout,12007.0,47.0,Finger Eleven,Paralyzer,Them Vs. You Vs. Me,208106,spotify:track:28IEbk5a7twNTbUEvWslUb,75.0,0.939,0.644,0.233,0.861,grunge,,,,,,
Workout,12007.0,48.0,Avenged Sevenfold,Hail to the King,Hail to the King,304880,spotify:track:5anCkDvJ17aznvK5TED5uo,0.0,0.916,0.58,0.126,0.68,alternative,,,,,,
Anna,12008.0,2.0,The Strokes,"Call It Fate, Call It Karma",Comedown Machine,204773,spotify:track:3Y4rUyw7XBCK6hGHCOt6rp,72.0,0.241,0.544,0.101,0.359,alt-rock,,,,,,
Anna,12008.0,25.0,The Jesus and Mary Chain,Just Like Honey,Psychocandy,182493,spotify:track:1LwP9g1Hjbs64jXM2Qsxry,61.0,0.552,0.341,0.0591,0.486,punk-rock,,,,,,
Anna,12008.0,30.0,Keaton Henson,Small Hands,Dear,180693,spotify:track:40jiZBsr1W3SG15AGU9227,52.0,0.525,0.649,0.121,0.603,ambient,,,,,,
Anna,12008.0,49.0,Joy Division,Love Will Tear Us Apart,The Best Of,206866,spotify:track:2JO3HwMRPeya8bXbtbyPcf,0.0,0.902,0.524,0.137,0.907,alt-rock,,,,,,
LOVE,12009.0,15.0,Ray Charles,Hit the Road Jack,Georgia On My Mind,118266,spotify:track:49fzPkBb3aOUWYRKaTWVhm,70.0,0.571,0.598,0.513,0.962,blues,,,,,,
LOVE,12009.0,17.0,Nina Simone,Feeling Good,I Put A Spell On You,174000,spotify:track:61S0mEfdRtJ62Fc7fPqx0U,1.0,0.414,0.428,0.238,0.508,blues,,,,,,
LOVE,12009.0,38.0,Bruce Springsteen,I'm On Fire,Born In The U.S.A.,154266,spotify:track:4bSWx86yHmy6OOMsQPU60F,74.0,0.446,0.62,0.0727,0.868,singer-songwriter,,,,,,
LOVE,12009.0,40.0,Dion,Runaround Sue,Runaround Sue,171600,spotify:track:1DndHckdH9m5rp6gYP086b,67.0,0.607,0.364,0.251,0.598,rock-n-roll,,,,,,
LOVE,12009.0,46.0,Frank Ocean,Thinkin Bout You,channel ORANGE,200746,spotify:track:7DfFc7a6Rwfi3YQMRbDMau,78.0,0.339,0.721,0.0973,0.2,soul,,,,,,
LOVE,12009.0,47.0,Michael Jackson,Dirty Diana - 2012 Remaster,Bad 25th Anniversary,280760,spotify:track:3yBlJtq86wROQpHi1goEKT,62.0,0.801,0.735,0.324,0.331,soul,,,,,,
LOVE,12009.0,48.0,Michael Jackson,You Are Not Alone,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",345600,spotify:track:3AoeaZs8dFemFJr3JdzOL0,67.0,0.402,0.651,0.0765,0.258,soul,,,,,,
LOVE,12009.0,50.0,Angus & Julia Stone,Big Jet Plane,Down The Way,239120,spotify:track:2fbXJ0VpxhW7j0qcg1DnoZ,61.0,0.387,0.762,0.13,0.274,folk,,,,,,
LOVE,12009.0,60.0,Mazzy Star,Fade Into You,So Tonight That I Might See,295600,spotify:track:1LzNfuep1bnAUR9skqdHCK,79.0,0.33,0.42,0.0677,0.175,alt-rock,,,,,,
LOVE,12009.0,61.0,Alicia Keys,If I Ain't Got You,The Diary Of Alicia Keys,228706,spotify:track:3XVBdLihbNbxUwZosxcGuJ,80.0,0.444,0.609,0.104,0.166,soul,,,,,,
LOVE,12009.0,64.0,Percy Sledge,When A Man Loves A Woman,When A Man Loves A Woman,173866,spotify:track:51FpzuGkRYXFgsE2zXt9av,0.0,0.272,0.404,0.0528,0.326,soul,,,,,,
LOVE,12009.0,68.0,Michael Jackson,Human Nature,Thriller 25 Super Deluxe Edition,245560,spotify:track:35lAjvsvS9k9HHuP1fjDT8,66.0,0.511,0.638,0.26,0.68,soul,,,,,,
LOVE,12009.0,71.0,Norah Jones,Come Away With Me,Come Away With Me,198146,spotify:track:0Cvjlph1WGbwZY1PlMEtJY,0.0,0.126,0.354,0.151,0.17,j-pop,,,,,,
LOVE,12009.0,80.0,John Mayer,Slow Dancing in a Burning Room,Continuum,242000,spotify:track:2jdAk8ATWIL3dwT47XpRfu,74.0,0.361,0.667,0.0805,0.29,singer-songwriter,,,,,,
LOVE,12009.0,81.0,John Mayer,Your Body Is a Wonderland,Room For Squares,249626,spotify:track:7vFv0yFGMJW3qVXbAd9BK9,74.0,0.729,0.647,0.134,0.687,singer-songwriter,,,,,,
LOVE,12009.0,86.0,Arctic Monkeys,Do I Wanna Know?,AM,272394,spotify:track:3rq5w4bQGigXOfdN30ATJt,88.0,0.532,0.548,0.217,0.405,garage,,,,,,
LOVE,12009.0,92.0,Marc Anthony,Vivir Mi Vida,3,252346,spotify:track:3QHMxEOAGD51PDlbFPHLyJ,76.0,0.877,0.656,0.349,0.894,salsa,,,,,,
LOVE,12009.0,110.0,The Notorious B.I.G.,Big Poppa,Ready To Die The Remaster,252746,spotify:track:2g8HN35AnVGIk7B8yMucww,49.0,0.671,0.765,0.0506,0.798,hardcore,,,,,,
80s-90s,12010.0,0.0,Tom Petty,Free Fallin',Full Moon Fever,256000,spotify:track:5tVA6TkbaAH9QMITTQRrNv,0.0,0.504,0.619,0.06,0.568,folk,,,,,,
80s-90s,12010.0,1.0,Dire Straits,Sultans Of Swing,Dire Straits,348624,spotify:track:3LTMnFa0hhwisyq6ILahyj,81.0,0.794,0.733,0.33,0.931,rock,,,,,,
80s-90s,12010.0,2.0,R.E.M.,Losing My Religion,Out Of Time,268426,spotify:track:2wVXSc0IrQVodHESUxVUJA,0.0,0.854,0.666,0.0986,0.803,alt-rock,,,,,,
80s-90s,12010.0,11.0,Weezer,Island In The Sun,Weezer (Green Album),200306,spotify:track:2MLHyLy5z5l5YRp7momlgw,1.0,0.794,0.654,0.165,0.678,alt-rock,,,,,,
80s-90s,12010.0,12.0,Weezer,Say It Ain't So,Weezer,256880,spotify:track:4YPhn26bIFm2KUkL1VLzQG,1.0,0.551,0.635,0.07,0.451,alt-rock,,,,,,
80s-90s,12010.0,13.0,Billy Joel,We Didn't Start the Fire,Storm Front,287733,spotify:track:3Cx4yrFaX8CeHwBMReOWXI,76.0,0.967,0.712,0.356,0.895,piano,,,,,,
80s-90s,12010.0,14.0,Bryan Adams,Summer Of '69,Reckless,216973,spotify:track:6N1EjQjnvhOjFrF6oUmGPa,82.0,0.834,0.508,0.0732,0.774,rock,,,,,,
80s-90s,12010.0,16.0,Van Morrison,Brown Eyed Girl,Blowin' Your Mind!,183306,spotify:track:3yrSvpt2l1xhsV9Em88Pul,80.0,0.583,0.491,0.406,0.908,folk,,,,,,
80s-90s,12010.0,29.0,Red Hot Chili Peppers,Californication,Californication,329733,spotify:track:48UPSzbZjgc449aqz8bxox,2.0,0.765,0.592,0.127,0.327,alt-rock,,,,,,
80s-90s,12010.0,31.0,The Offspring,Why Don't You Get A Job,Americana,172466,spotify:track:027h5P3kCyktHv9dpHUBBS,2.0,0.882,0.766,0.281,0.547,punk-rock,,,,,,
80s-90s,12010.0,32.0,The Offspring,Pretty Fly (For A White Guy),Americana,188666,spotify:track:51T1wGHtx6hXW89UCzw1Rc,75.0,0.895,0.723,0.0717,0.963,punk-rock,,,,,,
80s-90s,12010.0,34.0,Semisonic,Closing Time,Feeling Strangely Fine,273533,spotify:track:4EnkwZd0UJAuHpNMMemQaA,0.0,0.854,0.478,0.115,0.274,alt-rock,,,,,,
80s-90s,12010.0,35.0,The Bangles,Walk Like an Egyptian,Different Light,204560,spotify:track:3BGbqEDio3ocx1v4egIYr6,63.0,0.891,0.724,0.3,0.818,disco,,,,,,
80s-90s,12010.0,37.0,House Of Pain,Jump Around,House of Pain (Fine Malt Lyrics),214946,spotify:track:3TZwjdclvWt7iPJUnMpgcs,65.0,0.71,0.854,0.166,0.818,hard-rock,,,,,,
80s-90s,12010.0,39.0,Green Day,Good Riddance (Time of Your Life),Nimrod,153466,spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,0.0,0.432,0.449,0.161,0.645,punk,,,,,,
80s-90s,12010.0,45.0,Sublime,What I Got,Sublime,171066,spotify:track:5nkYHBWXu7KCgcdwP6jcB1,1.0,0.693,0.804,0.314,0.654,punk,,,,,,
80s-90s,12010.0,46.0,Third Eye Blind,Jumper - 1998 Edit,Third Eye Blind,272973,spotify:track:3354J49VpkbZJho7Ztdzpw,67.0,0.543,0.599,0.291,0.624,grunge,,,,,,
80s-90s,12010.0,47.0,Third Eye Blind,Semi-Charmed Life,Third Eye Blind,268360,spotify:track:42et6fnHCw1HIPSrdPprMl,75.0,0.864,0.64,0.123,0.701,grunge,,,,,,
80s-90s,12010.0,49.0,blink-182,What's My Age Again?,Blink 182 (Sound and Vision Q4 2007),148506,spotify:track:5wTMQjEx9LWeFwLjolPCUy,4.0,0.951,0.391,0.0878,0.468,punk-rock,,,,,,
80s-90s,12010.0,50.0,blink-182,Adam's Song,Enema Of The State,249753,spotify:track:43NhiKnrtGqztxDqXrcUux,0.0,0.775,0.52,0.364,0.383,punk-rock,,,,,,
80s-90s,12010.0,51.0,blink-182,All The Small Things,Enema Of The State,168000,spotify:track:12qZHAeOyTf93YAWvGDTat,2.0,0.9,0.442,0.395,0.609,punk-rock,,,,,,
80s-90s,12010.0,52.0,Chumbawamba,Tubthumping,Tubthumper,278960,spotify:track:5YScXJKtefsgdskIy60N7A,2.0,0.871,0.608,0.363,0.61,punk,,,,,,
80s-90s,12010.0,56.0,Counting Crows,Mr. Jones,August And Everything After,272506,spotify:track:5DiXcVovI0FcY2s0icWWUu,0.0,0.836,0.571,0.182,0.73,alt-rock,,,,,,
80s-90s,12010.0,59.0,Dexys Midnight Runners,Come On Eileen,Too Rye Ay,287306,spotify:track:0EMmVUYs9ZZRHtlADB88uz,2.0,0.769,0.45,0.306,0.604,ska,,,,,,
80s-90s,12010.0,64.0,RunD.M.C.,My Adidas,Discover Further,169133,spotify:track:5Go4h6tyle7zUCZXf1fET4,32.0,0.773,0.819,0.292,0.756,hardcore,,,,,,
80s-90s,12010.0,74.0,Stevie Wonder,Superstition - Single Version,Song Review: A Greatest Hits Collection,239120,spotify:track:5lXcSvHRVjQJ3LB2rLKQog,0.0,0.745,0.637,0.0372,0.859,funk,,,,,,
80s-90s,12010.0,84.0,Weezer,Say It Ain't So,Weezer,256880,spotify:track:4YPhn26bIFm2KUkL1VLzQG,1.0,0.551,0.635,0.07,0.451,alt-rock,,,,,,
Getting ready,12011.0,1.0,WALK THE MOON,Shut Up and Dance,TALKING IS HARD,199080,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,83.0,0.866,0.578,0.257,0.619,alt-rock,,,,,,
Getting ready,12011.0,5.0,Milky Chance,Stolen Dance,Sadnecessary,313684,spotify:track:6vECYJHxYmm3Ydt3fF01pE,80.0,0.581,0.884,0.0759,0.728,german,,,,,,
Getting ready,12011.0,8.0,X Ambassadors,Unsteady,VHS,193546,spotify:track:7lGKEWMXVWWTt3X71Bv44I,74.0,0.665,0.389,0.116,0.199,alt-rock,,,,,,
Country,12012.0,0.0,Luke Bryan,Country Girl (Shake It For Me),Tailgates & Tanlines,225560,spotify:track:0yD66650JxhqKbW76C2qCo,2.0,0.904,0.644,0.0834,0.672,country,,,,,,
Country,12012.0,8.0,Florida Georgia Line,H.O.L.Y.,Dig Your Roots,194186,spotify:track:0BCy325UZyR9z0t0uxwn2N,71.0,0.666,0.523,0.0728,0.564,country,,,,,,
Country,12012.0,15.0,Kip Moore,Hey Pretty Girl,Up All Night,215920,spotify:track:75p6fgACKYIyIhsoG411SZ,0.0,0.373,0.431,0.259,0.0884,country,,,,,,
Country,12012.0,28.0,Hunter Hayes,Wanted,Hunter Hayes (Encore),228840,spotify:track:0p1BcEcYVO3uk4KDf3gzkY,0.0,0.475,0.414,0.0816,0.3,country,,,,,,
Happy tunes,12013.0,1.0,Bastille,Pompeii,Bad Blood,214147,spotify:track:3gbBpTdY8lnQwqxNCcf795,1.0,0.711,0.68,0.241,0.571,rock,,,,,,
Happy tunes,12013.0,4.0,Imagine Dragons,On Top Of The World,Night Visions,189840,spotify:track:4eLSCSELtKxZwXnFbNLXT5,0.0,0.925,0.588,0.0881,0.759,rock,,,,,,
Happy tunes,12013.0,5.0,Avicii,Wake Me Up - Radio Edit,True,247426,spotify:track:6g1NlCpW7fgqDnWbCCDrHl,1.0,0.807,0.524,0.212,0.62,dance,,,,,,
Happy tunes,12013.0,7.0,Capital Cities,Safe And Sound,In A Tidal Wave Of Mystery,192789,spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,83.0,0.819,0.655,0.104,0.766,rock,,,,,,
Happy tunes,12013.0,8.0,WALK THE MOON,Shut Up and Dance,TALKING IS HARD,199080,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,83.0,0.866,0.578,0.257,0.619,alt-rock,,,,,,
Happy tunes,12013.0,12.0,Bruno Mars,Treasure - Cash Cash Radio Mix,Treasure Remix EP,208278,spotify:track:7dQGDSVjt1vS6BsDURjYhS,2.0,0.944,0.664,0.766,0.745,dance,,,,,,
baelist,12014.0,4.0,Every Avenue,Tell Me I'm A Wreck,Picture Perfect,219973,spotify:track:203zTFd1zbfG0fiOG9OREv,64.0,0.76,0.578,0.142,0.7,emo,,,,,,
worship,12016.0,1.0,Vertical Worship,Spirit of the Living God,Church Songs,339480,spotify:track:4xuToNvDiZHnDQVujjK49s,54.0,0.531,0.368,0.639,0.166,world-music,,,,,,
worship,12016.0,14.0,Chris Tomlin,Good Good Father,The Ultimate Playlist,293398,spotify:track:1CvoOXxJqC2VHwgjZxjGX5,66.0,0.587,0.429,0.108,0.164,alt-rock,,,,,,
All ,12017.0,6.0,Zara Larsson,Lush Life,So Good,201122,spotify:track:1rIKgCH4H52lrvDcz50hS8,78.0,0.712,0.694,0.211,0.799,dance,,,,,,
All ,12017.0,10.0,ZAYN,PILLOWTALK,Mind Of Mine (Deluxe Edition),202746,spotify:track:0PDUDa38GO8lMxLCRc4lL1,78.0,0.7,0.584,0.0939,0.438,dance,,,,,,
All ,12017.0,12.0,Shawn Mendes,Treat You Better,Illuminate,187973,spotify:track:4Hf7WnR761jpxPr5D46Bcd,84.0,0.819,0.444,0.107,0.747,dance,,,,,,
All ,12017.0,25.0,James Arthur,Say You Won't Let Go,Back from the Edge,211466,spotify:track:5uCax9HTNlzGybIStD3vDh,85.0,0.557,0.358,0.0902,0.494,pop,,,,,,
All ,12017.0,28.0,Calvin Harris,My Way,My Way,219159,spotify:track:1vvNmPOiUuyCbgWmtc6yfm,76.0,0.913,0.818,0.161,0.536,electro,,,,,,
All ,12017.0,30.0,Rixton,Me And My Broken Heart,Let The Road,193733,spotify:track:1oew3nFNY3vMacJAsvry0S,79.0,0.783,0.545,0.132,0.551,dance,,,,,,
All ,12017.0,36.0,Adele,Send My Love (To Your New Lover),25,223080,spotify:track:4BHzQ9C00ceJxfG16AlNWb,72.0,0.533,0.688,0.172,0.567,british,,,,,,
All ,12017.0,40.0,Ariana Grande,One Last Time,My Everything,197253,spotify:track:7bJwvubZZaoGE1AGEfu8Fi,83.0,0.593,0.628,0.096,0.104,dance,,,,,,
All ,12017.0,41.0,Avicii,Waiting For Love,Stories,230613,spotify:track:6nsLzJfvp5OLd4mgqUJkpq,81.0,0.736,0.579,0.198,0.613,dance,,,,,,
All ,12017.0,43.0,Fifth Harmony,Worth It,Reflection,224573,spotify:track:2TRFIQpTqq12xGpFJEr0Ft,64.0,0.78,0.858,0.133,0.602,dance,,,,,,
All ,12017.0,44.0,Daya,"Sit Still, Look Pretty","Sit Still, Look Pretty",202226,spotify:track:2DpCdPMg1BADE4HDnxt3Rd,63.0,0.787,0.655,0.178,0.554,dance,,,,,,
All ,12017.0,55.0,Anne-Marie,Alarm,Alarm,205593,spotify:track:0OwX5aROoW1Iip8FV51Efg,0.0,0.589,0.756,0.176,0.811,dance,,,,,,
All ,12017.0,56.0,The Script,Hall of Fame,#3 Deluxe Version,202533,spotify:track:7wMq5n8mYSKlQIGECKUgTX,60.0,0.872,0.511,0.0975,0.511,rock,,,,,,
autumn,12018.0,5.0,Of Monsters and Men,Dirty Paws,My Head Is An Animal,278373,spotify:track:5g7rJvWYVrloJZwKiShqlS,70.0,0.649,0.359,0.0555,0.133,folk,,,,,,
autumn,12018.0,35.0,OneRepublic,Au Revoir,Native,290480,spotify:track:3Yr2wHzUq7ncX04RjBWt4g,38.0,0.528,0.517,0.123,0.108,piano,,,,,,
Country Roads,12019.0,4.0,Little Big Town,Boondocks,The Road To Here,272346,spotify:track:3duP6mBVDsHM8ioN7o7dAK,0.0,0.78,0.406,0.474,0.687,country,,,,,,
Country Roads,12019.0,11.0,George Strait,Heartland - Pure Country/Soundtrack Version,Pure Country,138160,spotify:track:0U4R6UqrJo43TmImPku9H8,0.0,0.89,0.449,0.112,0.696,country,,,,,,
Country Roads,12019.0,22.0,John Denver,"Take Me Home, Country Roads","The John Denver Collection, Vol. 1: Take Me Home Country Roads",197813,spotify:track:2xYlyywNgefLCRDG8hlxZq,73.0,0.395,0.462,0.121,0.625,country,,,,,,
????,12020.0,16.0,Niall Horan,This Town,Flicker,232852,spotify:track:3UwT4FadEGWyMdaSwYcUBY,80.0,0.401,0.677,0.116,0.195,dance,,,,,,
????,12020.0,45.0,Alvaro Soler,El Mismo Sol,Eterno Agosto,188093,spotify:track:2mjqNvy3WT62V1mVZjK1nQ,1.0,0.829,0.733,0.0831,0.975,latin,,,,,,
????,12020.0,76.0,OneRepublic,Let's Hurt Tonight,Oh My My,194520,spotify:track:1oc4kHthIpfa2jQnIL33GE,63.0,0.713,0.359,0.324,0.272,piano,,,,,,
????,12020.0,77.0,Melanie Martinez,Soap,Cry Baby,209426,spotify:track:03f7xZmt2wHCIDJBFPK8G4,0.0,0.689,0.594,0.129,0.209,electro,,,,,,
????,12020.0,82.0,The Chainsmokers,Paris,Memories...Do Not Open,221506,spotify:track:72jbDTw1piOOj770jWNeaG,74.0,0.658,0.653,0.0939,0.219,dance,,,,,,
????,12020.0,83.0,Ed Sheeran,Shape of You,÷,233712,spotify:track:7qiZfU4dY1lWllzX7mPBI3,86.0,0.652,0.825,0.0931,0.931,pop,,,,,,
????,12020.0,87.0,EDEN,XO,i think you think too much of me,159512,spotify:track:0ZAiqymvbQUZAh9y6ZT3Rm,67.0,0.39,0.611,0.118,0.617,indie-pop,,,,,,
????,12020.0,97.0,EDEN,sex,i think you think too much of me,218808,spotify:track:26ZX2JrAb8AFbr8FFfAsO7,66.0,0.521,0.413,0.323,0.532,indie-pop,,,,,,
????,12020.0,110.0,Saint Motel,My Type,My Type,206393,spotify:track:7rqyZM53JpYj86avtfmyeg,70.0,0.896,0.595,0.0748,0.567,alt-rock,,,,,,
????,12020.0,145.0,Halsey,Now Or Never,hopeless fountain kingdom,214801,spotify:track:7i2DJ88J7jQ8K7zqFX2fW8,67.0,0.585,0.67,0.131,0.447,indie-pop,,,,,,
????,12020.0,146.0,The Chainsmokers,The One,Memories...Do Not Open,177573,spotify:track:0wfbD5rAksdXUzRvMfM3x5,59.0,0.303,0.76,0.294,0.15,edm,,,,,,
????,12020.0,148.0,Perfume Genius,Slip Away,No Shape,165329,spotify:track:3Gda1sTo2ZjbztjjsnAsP3,53.0,0.509,0.603,0.0627,0.572,psych-rock,,,,,,
????,12020.0,157.0,The Chainsmokers,Paris,Memories...Do Not Open,221506,spotify:track:72jbDTw1piOOj770jWNeaG,74.0,0.658,0.653,0.0939,0.219,dance,,,,,,
????,12020.0,182.0,Novo Amor,Weather,"Woodgate, NY",232026,spotify:track:7N0osVtma3QzvMOfVbdSL8,62.0,0.242,0.527,0.114,0.112,ambient,,,,,,
????,12020.0,187.0,Cage The Elephant,Cigarette Daydreams,Melophobia,208760,spotify:track:2tznHmp70DxMyr2XhWLOW0,79.0,0.676,0.636,0.0831,0.273,blues,,,,,,
????,12020.0,189.0,Cold War Kids,Love Is Mystical,LA DIVINE,214360,spotify:track:6oXUzxFOfdXbD8ivAfAraN,60.0,0.863,0.567,0.207,0.722,blues,,,,,,
