playlist_name,playlist_id,pos,artist_name,track_name,album_name,duration_ms,track_uri,popularity,energy,danceability,liveness,valence,track_genre,track_id,release_date,explicit
sass,12003,20,Fifth Harmony,Worth It,Reflection,224573,spotify:track:2TRFIQpTqq12xGpFJEr0Ft,64,0.78,0.858,0.133,0.602,dance,2TRFIQpTqq12xGpFJEr0Ft,,
sass,12003,24,Amy Winehouse,Valerie - Live At BBC Radio 1 Live Lounge London / 2007,Back To Black,233733,spotify:track:6nLvaCZFR1wEzW3sIKpsnr,75,0.371,0.772,0.167,0.684,british,6nLvaCZFR1wEzW3sIKpsnr,,
Hippity hop,12004,8,Avicii,Wake Me Up - Radio Edit,True,247426,spotify:track:6g1NlCpW7fgqDnWbCCDrHl,1,0.807,0.524,0.212,0.62,dance,6g1NlCpW7fgqDnWbCCDrHl,,
Hippity hop,12004,12,Bruno Mars,It Will Rain,It Will Rain,257847,spotify:track:4rMNgxEwGWoPHIUcvB5BrB,0,0.835,0.572,0.082,0.468,dance,4rMNgxEwGWoPHIUcvB5BrB,,
Hippity hop,12004,45,Sam Smith,I'm Not The Only One,In The Lonely Hour,239316,spotify:track:0fioLzGM8ngbD1w6fMmm45,1,0.487,0.684,0.0821,0.456,dance,0fioLzGM8ngbD1w6fMmm45,,
Hippity hop,12004,46,Jason Derulo,Want to Want Me,Everything Is 4,207719,spotify:track:7oGZAicScQt96OAW4AruYy,1,0.643,0.772,0.0705,0.669,dance,7oGZAicScQt96OAW4AruYy,2015-05-29,False
Hippity hop,12004,47,Adele,Hello,25,295493,spotify:track:4sPmO7WMQUAf45kwMOtONw,74,0.43,0.578,0.0854,0.288,british,4sPmO7WMQUAf45kwMOtONw,,
Hippity hop,12004,50,Ellie Goulding,Lights - Single Version,Bright Lights,210853,spotify:track:2bRXehD283NioREYxlohc4,0,0.802,0.681,0.127,0.791,dance,2bRXehD283NioREYxlohc4,,
Hippity hop,12004,56,Ed Sheeran,Shape of You,÷,233712,spotify:track:7qiZfU4dY1lWllzX7mPBI3,86,0.652,0.825,0.0931,0.931,pop,7qiZfU4dY1lWllzX7mPBI3,2017-03-03,False
summer 2k17,12005,28,Blondie,Long Time,Pollinator,275053,spotify:track:6Pt9gKCvcb970sLaTXhld1,12,0.807,0.522,0.201,0.442,power-pop,6Pt9gKCvcb970sLaTXhld1,,
summer 2k17,12005,32,Dua Lipa,New Rules,Dua Lipa,208826,spotify:track:2ekn2ttSfGqwhhate0LSR0,81,0.7,0.762,0.153,0.608,dance,2ekn2ttSfGqwhhate0LSR0,,
summer 2k17,12005,33,Demi Lovato,Sorry Not Sorry,Tell Me You Love Me,203760,spotify:track:3m660poUr1chesgkkjQM7P,0,0.643,0.705,0.262,0.884,dance,3m660poUr1chesgkkjQM7P,,
Indie,12006,1,MGMT,Time to Pretend,Oracular Spectacular/Congratulations,261000,spotify:track:1Zqy9bervYUomy12Pbm3rP,72,0.94,0.438,0.3,0.421,alt-rock,1Zqy9bervYUomy12Pbm3rP,,
Indie,12006,3,MGMT,Electric Feel,Oracular Spectacular/Congratulations,229640,spotify:track:0vaf64cpnqM7COUZZkoBig,77,0.803,0.763,0.348,0.561,alt-rock,0vaf64cpnqM7COUZZkoBig,,
Indie,12006,4,MGMT,Kids,Oracular Spectacular/Congratulations,302840,spotify:track:5QldjuXcxplhjjUqLrzl6H,78,0.931,0.451,0.361,0.172,alt-rock,5QldjuXcxplhjjUqLrzl6H,,
Indie,12006,7,M83,Midnight City,"Hurry Up, We're Dreaming",241440,spotify:track:1eyzqe2QqGZUmfcPZtrIyt,76,0.729,0.507,0.0658,0.272,french,1eyzqe2QqGZUmfcPZtrIyt,,
Indie,12006,9,Cage The Elephant,Come a Little Closer,Melophobia,229346,spotify:track:4sebUbjqbcgDSwG6PbSGI0,74,0.778,0.44,0.151,0.304,blues,4sebUbjqbcgDSwG6PbSGI0,,
Indie,12006,31,Of Monsters and Men,Dirty Paws,My Head Is An Animal,278373,spotify:track:5g7rJvWYVrloJZwKiShqlS,70,0.649,0.359,0.0555,0.133,folk,5g7rJvWYVrloJZwKiShqlS,2012-01-01,False
Indie,12006,36,Mumford & Sons,Little Lion Man,Sigh No More,245173,spotify:track:6b5rA9rthDbZDOQp9UbOgl,68,0.492,0.517,0.0873,0.455,folk,6b5rA9rthDbZDOQp9UbOgl,,
Indie,12006,65,Hugo,99 Problems,Old Tyme Religion,137426,spotify:track:7hN5TKSdRb56uytwIpcUES,62,0.557,0.529,0.0734,0.592,folk,7hN5TKSdRb56uytwIpcUES,,
Indie,12006,67,Cage The Elephant,Cigarette Daydreams,Melophobia,208760,spotify:track:2tznHmp70DxMyr2XhWLOW0,79,0.676,0.636,0.0831,0.273,blues,2tznHmp70DxMyr2XhWLOW0,,
Indie,12006,70,Grouplove,Tongue Tied,Never Trust A Happy Song,218013,spotify:track:0GO8y8jQk1PkHzS31d699N,79,0.936,0.56,0.161,0.371,alt-rock,0GO8y8jQk1PkHzS31d699N,2011-09-02,False
Indie,12006,71,Beach House,Space Song,Depression Cherry,320466,spotify:track:5d8CreUdJvZejvTUo1IHLw,73,0.79,0.509,0.144,0.625,indie-pop,5d8CreUdJvZejvTUo1IHLw,,
Workout,12007,4,3 Doors Down,Let Me Be Myself,3 Doors Down,228626,spotify:track:37K07PsEPk3SuYpAvjTbJO,47,0.699,0.495,0.113,0.492,grunge,37K07PsEPk3SuYpAvjTbJO,,
Workout,12007,15,The Script,Hall of Fame,#3 Deluxe Version,202533,spotify:track:7wMq5n8mYSKlQIGECKUgTX,60,0.872,0.511,0.0975,0.511,rock,7wMq5n8mYSKlQIGECKUgTX,2012-09-10,False
Workout,12007,28,Three Days Grace,I Hate Everything About You,Three Days Grace,231480,spotify:track:0M955bMOoilikPXwKLYpoi,72,0.83,0.498,0.139,0.453,grunge,0M955bMOoilikPXwKLYpoi,2003-04-19,False
Workout,12007,47,Finger Eleven,Paralyzer,Them Vs. You Vs. Me,208106,spotify:track:28IEbk5a7twNTbUEvWslUb,75,0.939,0.644,0.233,0.861,grunge,28IEbk5a7twNTbUEvWslUb,2007-01-01,False
Workout,12007,48,Avenged Sevenfold,Hail to the King,Hail to the King,304880,spotify:track:5anCkDvJ17aznvK5TED5uo,0,0.916,0.58,0.126,0.68,alternative,5anCkDvJ17aznvK5TED5uo,2013-08-23,False
Anna,12008,2,The Strokes,"Call It Fate, Call It Karma",Comedown Machine,204773,spotify:track:3Y4rUyw7XBCK6hGHCOt6rp,72,0.241,0.544,0.101,0.359,alt-rock,3Y4rUyw7XBCK6hGHCOt6rp,,
Anna,12008,25,The Jesus and Mary Chain,Just Like Honey,Psychocandy,182493,spotify:track:1LwP9g1Hjbs64jXM2Qsxry,61,0.552,0.341,0.0591,0.486,punk-rock,1LwP9g1Hjbs64jXM2Qsxry,1985-11-18,False
Anna,12008,30,Keaton Henson,Small Hands,Dear,180693,spotify:track:40jiZBsr1W3SG15AGU9227,52,0.525,0.649,0.121,0.603,ambient,40jiZBsr1W3SG15AGU9227,,
Anna,12008,49,Joy Division,Love Will Tear Us Apart,The Best Of,206866,spotify:track:2JO3HwMRPeya8bXbtbyPcf,0,0.902,0.524,0.137,0.907,alt-rock,2JO3HwMRPeya8bXbtbyPcf,2008-03-20,False
LOVE,12009,15,Ray Charles,Hit the Road Jack,Georgia On My Mind,118266,spotify:track:49fzPkBb3aOUWYRKaTWVhm,70,0.571,0.598,0.513,0.962,blues,49fzPkBb3aOUWYRKaTWVhm,,
LOVE,12009,17,Nina Simone,Feeling Good,I Put A Spell On You,174000,spotify:track:61S0mEfdRtJ62Fc7fPqx0U,1,0.414,0.428,0.238,0.508,blues,61S0mEfdRtJ62Fc7fPqx0U,,
LOVE,12009,38,Bruce Springsteen,I'm On Fire,Born In The U.S.A.,154266,spotify:track:4bSWx86yHmy6OOMsQPU60F,74,0.446,0.62,0.0727,0.868,singer-songwriter,4bSWx86yHmy6OOMsQPU60F,,
LOVE,12009,40,Dion,Runaround Sue,Runaround Sue,171600,spotify:track:1DndHckdH9m5rp6gYP086b,67,0.607,0.364,0.251,0.598,rock-n-roll,1DndHckdH9m5rp6gYP086b,,
LOVE,12009,46,Frank Ocean,Thinkin Bout You,channel ORANGE,200746,spotify:track:7DfFc7a6Rwfi3YQMRbDMau,78,0.339,0.721,0.0973,0.2,soul,7DfFc7a6Rwfi3YQMRbDMau,2012-07-10,False
LOVE,12009,47,Michael Jackson,Dirty Diana - 2012 Remaster,Bad 25th Anniversary,280760,spotify:track:3yBlJtq86wROQpHi1goEKT,62,0.801,0.735,0.324,0.331,soul,3yBlJtq86wROQpHi1goEKT,,
LOVE,12009,48,Michael Jackson,You Are Not Alone,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",345600,spotify:track:3AoeaZs8dFemFJr3JdzOL0,67,0.402,0.651,0.0765,0.258,soul,3AoeaZs8dFemFJr3JdzOL0,,
LOVE,12009,50,Angus & Julia Stone,Big Jet Plane,Down The Way,239120,spotify:track:2fbXJ0VpxhW7j0qcg1DnoZ,61,0.387,0.762,0.13,0.274,folk,2fbXJ0VpxhW7j0qcg1DnoZ,,
LOVE,12009,60,Mazzy Star,Fade Into You,So Tonight That I Might See,295600,spotify:track:1LzNfuep1bnAUR9skqdHCK,79,0.33,0.42,0.0677,0.175,alt-rock,1LzNfuep1bnAUR9skqdHCK,1993-10-05,False
LOVE,12009,61,Alicia Keys,If I Ain't Got You,The Diary Of Alicia Keys,228706,spotify:track:3XVBdLihbNbxUwZosxcGuJ,80,0.444,0.609,0.104,0.166,soul,3XVBdLihbNbxUwZosxcGuJ,2003-12-02,False
LOVE,12009,64,Percy Sledge,When A Man Loves A Woman,When A Man Loves A Woman,173866,spotify:track:51FpzuGkRYXFgsE2zXt9av,0,0.272,0.404,0.0528,0.326,soul,51FpzuGkRYXFgsE2zXt9av,1966,False
LOVE,12009,68,Michael Jackson,Human Nature,Thriller 25 Super Deluxe Edition,245560,spotify:track:35lAjvsvS9k9HHuP1fjDT8,66,0.511,0.638,0.26,0.68,soul,35lAjvsvS9k9HHuP1fjDT8,,
LOVE,12009,71,Norah Jones,Come Away With Me,Come Away With Me,198146,spotify:track:0Cvjlph1WGbwZY1PlMEtJY,0,0.126,0.354,0.151,0.17,j-pop,0Cvjlph1WGbwZY1PlMEtJY,,
LOVE,12009,80,John Mayer,Slow Dancing in a Burning Room,Continuum,242000,spotify:track:2jdAk8ATWIL3dwT47XpRfu,74,0.361,0.667,0.0805,0.29,singer-songwriter,2jdAk8ATWIL3dwT47XpRfu,,
LOVE,12009,81,John Mayer,Your Body Is a Wonderland,Room For Squares,249626,spotify:track:7vFv0yFGMJW3qVXbAd9BK9,74,0.729,0.647,0.134,0.687,singer-songwriter,7vFv0yFGMJW3qVXbAd9BK9,2001-08-16,False
LOVE,12009,86,Arctic Monkeys,Do I Wanna Know?,AM,272394,spotify:track:3rq5w4bQGigXOfdN30ATJt,88,0.532,0.548,0.217,0.405,garage,3rq5w4bQGigXOfdN30ATJt,,
LOVE,12009,92,Marc Anthony,Vivir Mi Vida,3,252346,spotify:track:3QHMxEOAGD51PDlbFPHLyJ,76,0.877,0.656,0.349,0.894,salsa,3QHMxEOAGD51PDlbFPHLyJ,2013-07-23,False
LOVE,12009,110,The Notorious B.I.G.,Big Poppa,Ready To Die The Remaster,252746,spotify:track:2g8HN35AnVGIk7B8yMucww,49,0.671,0.765,0.0506,0.798,hardcore,2g8HN35AnVGIk7B8yMucww,1994-09-13,True
80s-90s,12010,0,Tom Petty,Free Fallin',Full Moon Fever,256000,spotify:track:5tVA6TkbaAH9QMITTQRrNv,0,0.504,0.619,0.06,0.568,folk,5tVA6TkbaAH9QMITTQRrNv,1989-01-01,False
80s-90s,12010,1,Dire Straits,Sultans Of Swing,Dire Straits,348624,spotify:track:3LTMnFa0hhwisyq6ILahyj,81,0.794,0.733,0.33,0.931,rock,3LTMnFa0hhwisyq6ILahyj,,
80s-90s,12010,2,R.E.M.,Losing My Religion,Out Of Time,268426,spotify:track:2wVXSc0IrQVodHESUxVUJA,0,0.854,0.666,0.0986,0.803,alt-rock,2wVXSc0IrQVodHESUxVUJA,,
80s-90s,12010,11,Weezer,Island In The Sun,Weezer (Green Album),200306,spotify:track:2MLHyLy5z5l5YRp7momlgw,1,0.794,0.654,0.165,0.678,alt-rock,2MLHyLy5z5l5YRp7momlgw,2001-05-15,False
80s-90s,12010,12,Weezer,Say It Ain't So,Weezer,256880,spotify:track:4YPhn26bIFm2KUkL1VLzQG,1,0.551,0.635,0.07,0.451,alt-rock,4YPhn26bIFm2KUkL1VLzQG,,
80s-90s,12010,13,Billy Joel,We Didn't Start the Fire,Storm Front,287733,spotify:track:3Cx4yrFaX8CeHwBMReOWXI,76,0.967,0.712,0.356,0.895,piano,3Cx4yrFaX8CeHwBMReOWXI,1989-10-17,False
80s-90s,12010,14,Bryan Adams,Summer Of '69,Reckless,216973,spotify:track:6N1EjQjnvhOjFrF6oUmGPa,82,0.834,0.508,0.0732,0.774,rock,6N1EjQjnvhOjFrF6oUmGPa,,
80s-90s,12010,16,Van Morrison,Brown Eyed Girl,Blowin' Your Mind!,183306,spotify:track:3yrSvpt2l1xhsV9Em88Pul,80,0.583,0.491,0.406,0.908,folk,3yrSvpt2l1xhsV9Em88Pul,,
80s-90s,12010,29,Red Hot Chili Peppers,Californication,Californication,329733,spotify:track:48UPSzbZjgc449aqz8bxox,2,0.765,0.592,0.127,0.327,alt-rock,48UPSzbZjgc449aqz8bxox,1999-06-08,False
80s-90s,12010,31,The Offspring,Why Don't You Get A Job,Americana,172466,spotify:track:027h5P3kCyktHv9dpHUBBS,2,0.882,0.766,0.281,0.547,punk-rock,027h5P3kCyktHv9dpHUBBS,,
80s-90s,12010,32,The Offspring,Pretty Fly (For A White Guy),Americana,188666,spotify:track:51T1wGHtx6hXW89UCzw1Rc,75,0.895,0.723,0.0717,0.963,punk-rock,51T1wGHtx6hXW89UCzw1Rc,,
80s-90s,12010,34,Semisonic,Closing Time,Feeling Strangely Fine,273533,spotify:track:4EnkwZd0UJAuHpNMMemQaA,0,0.854,0.478,0.115,0.274,alt-rock,4EnkwZd0UJAuHpNMMemQaA,,
80s-90s,12010,35,The Bangles,Walk Like an Egyptian,Different Light,204560,spotify:track:3BGbqEDio3ocx1v4egIYr6,63,0.891,0.724,0.3,0.818,disco,3BGbqEDio3ocx1v4egIYr6,1985-07-11,False
80s-90s,12010,37,House Of Pain,Jump Around,House of Pain (Fine Malt Lyrics),214946,spotify:track:3TZwjdclvWt7iPJUnMpgcs,65,0.71,0.854,0.166,0.818,hard-rock,3TZwjdclvWt7iPJUnMpgcs,,
80s-90s,12010,39,Green Day,Good Riddance (Time of Your Life),Nimrod,153466,spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,0,0.432,0.449,0.161,0.645,punk,6ORqU0bHbVCRjXm9AjyHyZ,,
80s-90s,12010,45,Sublime,What I Got,Sublime,171066,spotify:track:5nkYHBWXu7KCgcdwP6jcB1,1,0.693,0.804,0.314,0.654,punk,5nkYHBWXu7KCgcdwP6jcB1,,
80s-90s,12010,46,Third Eye Blind,Jumper - 1998 Edit,Third Eye Blind,272973,spotify:track:3354J49VpkbZJho7Ztdzpw,67,0.543,0.599,0.291,0.624,grunge,3354J49VpkbZJho7Ztdzpw,1997-04-08,False
80s-90s,12010,47,Third Eye Blind,Semi-Charmed Life,Third Eye Blind,268360,spotify:track:42et6fnHCw1HIPSrdPprMl,75,0.864,0.64,0.123,0.701,grunge,42et6fnHCw1HIPSrdPprMl,1997-04-08,False
80s-90s,12010,49,blink-182,What's My Age Again?,Blink 182 (Sound and Vision Q4 2007),148506,spotify:track:5wTMQjEx9LWeFwLjolPCUy,4,0.951,0.391,0.0878,0.468,punk-rock,5wTMQjEx9LWeFwLjolPCUy,,
80s-90s,12010,50,blink-182,Adam's Song,Enema Of The State,249753,spotify:track:43NhiKnrtGqztxDqXrcUux,0,0.775,0.52,0.364,0.383,punk-rock,43NhiKnrtGqztxDqXrcUux,,
80s-90s,12010,51,blink-182,All The Small Things,Enema Of The State,168000,spotify:track:12qZHAeOyTf93YAWvGDTat,2,0.9,0.442,0.395,0.609,punk-rock,12qZHAeOyTf93YAWvGDTat,,
80s-90s,12010,52,Chumbawamba,Tubthumping,Tubthumper,278960,spotify:track:5YScXJKtefsgdskIy60N7A,2,0.871,0.608,0.363,0.61,punk,5YScXJKtefsgdskIy60N7A,1997-09-01,False
80s-90s,12010,56,Counting Crows,Mr. Jones,August And Everything After,272506,spotify:track:5DiXcVovI0FcY2s0icWWUu,0,0.836,0.571,0.182,0.73,alt-rock,5DiXcVovI0FcY2s0icWWUu,1993-09-14,False
80s-90s,12010,59,Dexys Midnight Runners,Come On Eileen,Too Rye Ay,287306,spotify:track:0EMmVUYs9ZZRHtlADB88uz,2,0.769,0.45,0.306,0.604,ska,0EMmVUYs9ZZRHtlADB88uz,,
80s-90s,12010,64,RunD.M.C.,My Adidas,Discover Further,169133,spotify:track:5Go4h6tyle7zUCZXf1fET4,32,0.773,0.819,0.292,0.756,hardcore,5Go4h6tyle7zUCZXf1fET4,,
80s-90s,12010,74,Stevie Wonder,Superstition - Single Version,Song Review: A Greatest Hits Collection,239120,spotify:track:5lXcSvHRVjQJ3LB2rLKQog,0,0.745,0.637,0.0372,0.859,funk,5lXcSvHRVjQJ3LB2rLKQog,,
80s-90s,12010,84,Weezer,Say It Ain't So,Weezer,256880,spotify:track:4YPhn26bIFm2KUkL1VLzQG,1,0.551,0.635,0.07,0.451,alt-rock,4YPhn26bIFm2KUkL1VLzQG,,
Getting ready,12011,1,WALK THE MOON,Shut Up and Dance,TALKING IS HARD,199080,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,83,0.866,0.578,0.257,0.619,alt-rock,4kbj5MwxO1bq9wjT5g9HaA,2014-12-02,False
Getting ready,12011,5,Milky Chance,Stolen Dance,Sadnecessary,313684,spotify:track:6vECYJHxYmm3Ydt3fF01pE,80,0.581,0.884,0.0759,0.728,german,6vECYJHxYmm3Ydt3fF01pE,,
Getting ready,12011,8,X Ambassadors,Unsteady,VHS,193546,spotify:track:7lGKEWMXVWWTt3X71Bv44I,74,0.665,0.389,0.116,0.199,alt-rock,7lGKEWMXVWWTt3X71Bv44I,2015-06-30,False
Country,12012,0,Luke Bryan,Country Girl (Shake It For Me),Tailgates & Tanlines,225560,spotify:track:0yD66650JxhqKbW76C2qCo,2,0.904,0.644,0.0834,0.672,country,0yD66650JxhqKbW76C2qCo,,
Country,12012,8,Florida Georgia Line,H.O.L.Y.,Dig Your Roots,194186,spotify:track:0BCy325UZyR9z0t0uxwn2N,71,0.666,0.523,0.0728,0.564,country,0BCy325UZyR9z0t0uxwn2N,,
Country,12012,15,Kip Moore,Hey Pretty Girl,Up All Night,215920,spotify:track:75p6fgACKYIyIhsoG411SZ,0,0.373,0.431,0.259,0.0884,country,75p6fgACKYIyIhsoG411SZ,2012-01-01,False
Country,12012,28,Hunter Hayes,Wanted,Hunter Hayes (Encore),228840,spotify:track:0p1BcEcYVO3uk4KDf3gzkY,0,0.475,0.414,0.0816,0.3,country,0p1BcEcYVO3uk4KDf3gzkY,,
Happy tunes,12013,1,Bastille,Pompeii,Bad Blood,214147,spotify:track:3gbBpTdY8lnQwqxNCcf795,1,0.711,0.68,0.241,0.571,rock,3gbBpTdY8lnQwqxNCcf795,,
Happy tunes,12013,4,Imagine Dragons,On Top Of The World,Night Visions,189840,spotify:track:4eLSCSELtKxZwXnFbNLXT5,0,0.925,0.588,0.0881,0.759,rock,4eLSCSELtKxZwXnFbNLXT5,,
Happy tunes,12013,5,Avicii,Wake Me Up - Radio Edit,True,247426,spotify:track:6g1NlCpW7fgqDnWbCCDrHl,1,0.807,0.524,0.212,0.62,dance,6g1NlCpW7fgqDnWbCCDrHl,,
Happy tunes,12013,7,Capital Cities,Safe And Sound,In A Tidal Wave Of Mystery,192789,spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,83,0.819,0.655,0.104,0.766,rock,6Z8R6UsFuGXGtiIxiD8ISb,,
Happy tunes,12013,8,WALK THE MOON,Shut Up and Dance,TALKING IS HARD,199080,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,83,0.866,0.578,0.257,0.619,alt-rock,4kbj5MwxO1bq9wjT5g9HaA,2014-12-02,False
Happy tunes,12013,12,Bruno Mars,Treasure - Cash Cash Radio Mix,Treasure Remix EP,208278,spotify:track:7dQGDSVjt1vS6BsDURjYhS,2,0.944,0.664,0.766,0.745,dance,7dQGDSVjt1vS6BsDURjYhS,,
baelist,12014,4,Every Avenue,Tell Me I'm A Wreck,Picture Perfect,219973,spotify:track:203zTFd1zbfG0fiOG9OREv,64,0.76,0.578,0.142,0.7,emo,203zTFd1zbfG0fiOG9OREv,2009-11-03,False
worship,12016,1,Vertical Worship,Spirit of the Living God,Church Songs,339480,spotify:track:4xuToNvDiZHnDQVujjK49s,54,0.531,0.368,0.639,0.166,world-music,4xuToNvDiZHnDQVujjK49s,2015-01-16,False
worship,12016,14,Chris Tomlin,Good Good Father,The Ultimate Playlist,293398,spotify:track:1CvoOXxJqC2VHwgjZxjGX5,66,0.587,0.429,0.108,0.164,alt-rock,1CvoOXxJqC2VHwgjZxjGX5,,
All ,12017,6,Zara Larsson,Lush Life,So Good,201122,spotify:track:1rIKgCH4H52lrvDcz50hS8,78,0.712,0.694,0.211,0.799,dance,1rIKgCH4H52lrvDcz50hS8,2017-03-17,False
All ,12017,10,ZAYN,PILLOWTALK,Mind Of Mine (Deluxe Edition),202746,spotify:track:0PDUDa38GO8lMxLCRc4lL1,78,0.7,0.584,0.0939,0.438,dance,0PDUDa38GO8lMxLCRc4lL1,2016-03-25,True
All ,12017,12,Shawn Mendes,Treat You Better,Illuminate,187973,spotify:track:4Hf7WnR761jpxPr5D46Bcd,84,0.819,0.444,0.107,0.747,dance,4Hf7WnR761jpxPr5D46Bcd,,
All ,12017,25,James Arthur,Say You Won't Let Go,Back from the Edge,211466,spotify:track:5uCax9HTNlzGybIStD3vDh,85,0.557,0.358,0.0902,0.494,pop,5uCax9HTNlzGybIStD3vDh,2016-10-28,False
All ,12017,28,Calvin Harris,My Way,My Way,219159,spotify:track:1vvNmPOiUuyCbgWmtc6yfm,76,0.913,0.818,0.161,0.536,electro,1vvNmPOiUuyCbgWmtc6yfm,,
All ,12017,30,Rixton,Me And My Broken Heart,Let The Road,193733,spotify:track:1oew3nFNY3vMacJAsvry0S,79,0.783,0.545,0.132,0.551,dance,1oew3nFNY3vMacJAsvry0S,2014-01-01,False
All ,12017,36,Adele,Send My Love (To Your New Lover),25,223080,spotify:track:4BHzQ9C00ceJxfG16AlNWb,72,0.533,0.688,0.172,0.567,british,4BHzQ9C00ceJxfG16AlNWb,,
All ,12017,40,Ariana Grande,One Last Time,My Everything,197253,spotify:track:7bJwvubZZaoGE1AGEfu8Fi,83,0.593,0.628,0.096,0.104,dance,7bJwvubZZaoGE1AGEfu8Fi,,
All ,12017,41,Avicii,Waiting For Love,Stories,230613,spotify:track:6nsLzJfvp5OLd4mgqUJkpq,81,0.736,0.579,0.198,0.613,dance,6nsLzJfvp5OLd4mgqUJkpq,,
All ,12017,43,Fifth Harmony,Worth It,Reflection,224573,spotify:track:2TRFIQpTqq12xGpFJEr0Ft,64,0.78,0.858,0.133,0.602,dance,2TRFIQpTqq12xGpFJEr0Ft,,
All ,12017,44,Daya,"Sit Still, Look Pretty","Sit Still, Look Pretty",202226,spotify:track:2DpCdPMg1BADE4HDnxt3Rd,63,0.787,0.655,0.178,0.554,dance,2DpCdPMg1BADE4HDnxt3Rd,,
All ,12017,55,Anne-Marie,Alarm,Alarm,205593,spotify:track:0OwX5aROoW1Iip8FV51Efg,0,0.589,0.756,0.176,0.811,dance,0OwX5aROoW1Iip8FV51Efg,,
All ,12017,56,The Script,Hall of Fame,#3 Deluxe Version,202533,spotify:track:7wMq5n8mYSKlQIGECKUgTX,60,0.872,0.511,0.0975,0.511,rock,7wMq5n8mYSKlQIGECKUgTX,2012-09-10,False
autumn,12018,5,Of Monsters and Men,Dirty Paws,My Head Is An Animal,278373,spotify:track:5g7rJvWYVrloJZwKiShqlS,70,0.649,0.359,0.0555,0.133,folk,5g7rJvWYVrloJZwKiShqlS,2012-01-01,False
autumn,12018,35,OneRepublic,Au Revoir,Native,290480,spotify:track:3Yr2wHzUq7ncX04RjBWt4g,38,0.528,0.517,0.123,0.108,piano,3Yr2wHzUq7ncX04RjBWt4g,,
Country Roads,12019,4,Little Big Town,Boondocks,The Road To Here,272346,spotify:track:3duP6mBVDsHM8ioN7o7dAK,0,0.78,0.406,0.474,0.687,country,3duP6mBVDsHM8ioN7o7dAK,2005-01-01,False
Country Roads,12019,11,George Strait,Heartland - Pure Country/Soundtrack Version,Pure Country,138160,spotify:track:0U4R6UqrJo43TmImPku9H8,0,0.89,0.449,0.112,0.696,country,0U4R6UqrJo43TmImPku9H8,,
