track_id,track_name,artist_name,album_name,playlist_name,playlist_id,track_genre,popularity,energy,danceability,liveness,valence,duration_min,explicit
6g1NlCpW7fgqDnWbCCDrHl,Wake Me Up - Radio Edit,Avicii,True,Hippity hop,12004,dance,1,0.807,0.524,0.212,0.62,4.12,0
4rMNgxEwGWoPHIUcvB5BrB,It Will Rain,Bruno Mars,It Will Rain,Hippity hop,12004,dance,0,0.835,0.572,0.082,0.468,4.3,0
0fioLzGM8ngbD1w6fMmm45,I'm Not The Only One,Sam Smith,In The Lonely Hour,Hippity hop,12004,dance,1,0.487,0.684,0.0821,0.456,3.99,0
7oGZAicScQt96OAW4AruYy,Want to Want Me,Jason Derulo,Everything Is 4,Hippity hop,12004,dance,1,0.643,0.772,0.0705,0.669,3.46,0
4sPmO7WMQUAf45kwMOtONw,Hello,Adele,25,Hippity hop,12004,british,74,0.43,0.578,0.0854,0.288,4.92,0
2bRXehD283NioREYxlohc4,Lights - Single Version,Ellie Goulding,Bright Lights,Hippity hop,12004,dance,0,0.802,0.681,0.127,0.791,3.51,0
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,÷,Hippity hop,12004,pop,86,0.652,0.825,0.0931,0.931,3.9,0
6Pt9gKCvcb970sLaTXhld1,Long Time,Blondie,Pollinator,summer 2k17,12005,power-pop,12,0.807,0.522,0.201,0.442,4.58,0
2ekn2ttSfGqwhhate0LSR0,New Rules,Dua Lipa,Dua Lipa,summer 2k17,12005,dance,81,0.7,0.762,0.153,0.608,3.48,0
3m660poUr1chesgkkjQM7P,Sorry Not Sorry,Demi Lovato,Tell Me You Love Me,summer 2k17,12005,dance,0,0.643,0.705,0.262,0.884,3.4,0
1Zqy9bervYUomy12Pbm3rP,Time to Pretend,MGMT,Oracular Spectacular/Congratulations,Indie,12006,alt-rock,72,0.94,0.438,0.3,0.421,4.35,0
0vaf64cpnqM7COUZZkoBig,Electric Feel,MGMT,Oracular Spectacular/Congratulations,Indie,12006,alt-rock,77,0.803,0.763,0.348,0.561,3.83,0
5QldjuXcxplhjjUqLrzl6H,Kids,MGMT,Oracular Spectacular/Congratulations,Indie,12006,alt-rock,78,0.931,0.451,0.361,0.172,5.05,0
1eyzqe2QqGZUmfcPZtrIyt,Midnight City,M83,"Hurry Up, We're Dreaming",Indie,12006,french,76,0.729,0.507,0.0658,0.272,4.02,0
4sebUbjqbcgDSwG6PbSGI0,Come a Little Closer,Cage The Elephant,Melophobia,Indie,12006,blues,74,0.778,0.44,0.151,0.304,3.82,0
5g7rJvWYVrloJZwKiShqlS,Dirty Paws,Of Monsters and Men,My Head Is An Animal,Indie,12006,folk,70,0.649,0.359,0.0555,0.133,4.64,0
6b5rA9rthDbZDOQp9UbOgl,Little Lion Man,Mumford & Sons,Sigh No More,Indie,12006,folk,68,0.492,0.517,0.0873,0.455,4.09,0
7hN5TKSdRb56uytwIpcUES,99 Problems,Hugo,Old Tyme Religion,Indie,12006,folk,62,0.557,0.529,0.0734,0.592,2.29,0
2tznHmp70DxMyr2XhWLOW0,Cigarette Daydreams,Cage The Elephant,Melophobia,Indie,12006,blues,79,0.676,0.636,0.0831,0.273,3.48,0
0GO8y8jQk1PkHzS31d699N,Tongue Tied,Grouplove,Never Trust A Happy Song,Indie,12006,alt-rock,79,0.936,0.56,0.161,0.371,3.63,0
5d8CreUdJvZejvTUo1IHLw,Space Song,Beach House,Depression Cherry,Indie,12006,indie-pop,73,0.79,0.509,0.144,0.625,5.34,0
37K07PsEPk3SuYpAvjTbJO,Let Me Be Myself,3 Doors Down,3 Doors Down,Workout,12007,grunge,47,0.699,0.495,0.113,0.492,3.81,0
7wMq5n8mYSKlQIGECKUgTX,Hall of Fame,The Script,#3 Deluxe Version,Workout,12007,rock,60,0.872,0.511,0.0975,0.511,3.38,0
0M955bMOoilikPXwKLYpoi,I Hate Everything About You,Three Days Grace,Three Days Grace,Workout,12007,grunge,72,0.83,0.498,0.139,0.453,3.86,0
28IEbk5a7twNTbUEvWslUb,Paralyzer,Finger Eleven,Them Vs. You Vs. Me,Workout,12007,grunge,75,0.939,0.644,0.233,0.861,3.47,0
5anCkDvJ17aznvK5TED5uo,Hail to the King,Avenged Sevenfold,Hail to the King,Workout,12007,alternative,0,0.916,0.58,0.126,0.68,5.08,0
3Y4rUyw7XBCK6hGHCOt6rp,"Call It Fate, Call It Karma",The Strokes,Comedown Machine,Anna,12008,alt-rock,72,0.241,0.544,0.101,0.359,3.41,0
1LwP9g1Hjbs64jXM2Qsxry,Just Like Honey,The Jesus and Mary Chain,Psychocandy,Anna,12008,punk-rock,61,0.552,0.341,0.0591,0.486,3.04,0
40jiZBsr1W3SG15AGU9227,Small Hands,Keaton Henson,Dear,Anna,12008,ambient,52,0.525,0.649,0.121,0.603,3.01,0
2JO3HwMRPeya8bXbtbyPcf,Love Will Tear Us Apart,Joy Division,The Best Of,Anna,12008,alt-rock,0,0.902,0.524,0.137,0.907,3.45,0
49fzPkBb3aOUWYRKaTWVhm,Hit the Road Jack,Ray Charles,Georgia On My Mind,LOVE,12009,blues,70,0.571,0.598,0.513,0.962,1.97,0
61S0mEfdRtJ62Fc7fPqx0U,Feeling Good,Nina Simone,I Put A Spell On You,LOVE,12009,blues,1,0.414,0.428,0.238,0.508,2.9,0
4bSWx86yHmy6OOMsQPU60F,I'm On Fire,Bruce Springsteen,Born In The U.S.A.,LOVE,12009,singer-songwriter,74,0.446,0.62,0.0727,0.868,2.57,0
1DndHckdH9m5rp6gYP086b,Runaround Sue,Dion,Runaround Sue,LOVE,12009,rock-n-roll,67,0.607,0.364,0.251,0.598,2.86,0
7DfFc7a6Rwfi3YQMRbDMau,Thinkin Bout You,Frank Ocean,channel ORANGE,LOVE,12009,soul,78,0.339,0.721,0.0973,0.2,3.35,0
3yBlJtq86wROQpHi1goEKT,Dirty Diana - 2012 Remaster,Michael Jackson,Bad 25th Anniversary,LOVE,12009,soul,62,0.801,0.735,0.324,0.331,4.68,0
3AoeaZs8dFemFJr3JdzOL0,You Are Not Alone,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",LOVE,12009,soul,67,0.402,0.651,0.0765,0.258,5.76,0
2fbXJ0VpxhW7j0qcg1DnoZ,Big Jet Plane,Angus & Julia Stone,Down The Way,LOVE,12009,folk,61,0.387,0.762,0.13,0.274,3.99,0
1LzNfuep1bnAUR9skqdHCK,Fade Into You,Mazzy Star,So Tonight That I Might See,LOVE,12009,alt-rock,79,0.33,0.42,0.0677,0.175,4.93,0
3XVBdLihbNbxUwZosxcGuJ,If I Ain't Got You,Alicia Keys,The Diary Of Alicia Keys,LOVE,12009,soul,80,0.444,0.609,0.104,0.166,3.81,0
51FpzuGkRYXFgsE2zXt9av,When A Man Loves A Woman,Percy Sledge,When A Man Loves A Woman,LOVE,12009,soul,0,0.272,0.404,0.0528,0.326,2.9,0
35lAjvsvS9k9HHuP1fjDT8,Human Nature,Michael Jackson,Thriller 25 Super Deluxe Edition,LOVE,12009,soul,66,0.511,0.638,0.26,0.68,4.09,0
0Cvjlph1WGbwZY1PlMEtJY,Come Away With Me,Norah Jones,Come Away With Me,LOVE,12009,j-pop,0,0.126,0.354,0.151,0.17,3.3,0
2jdAk8ATWIL3dwT47XpRfu,Slow Dancing in a Burning Room,John Mayer,Continuum,LOVE,12009,singer-songwriter,74,0.361,0.667,0.0805,0.29,4.03,0
7vFv0yFGMJW3qVXbAd9BK9,Your Body Is a Wonderland,John Mayer,Room For Squares,LOVE,12009,singer-songwriter,74,0.729,0.647,0.134,0.687,4.16,0
3rq5w4bQGigXOfdN30ATJt,Do I Wanna Know?,Arctic Monkeys,AM,LOVE,12009,garage,88,0.532,0.548,0.217,0.405,4.54,0
3QHMxEOAGD51PDlbFPHLyJ,Vivir Mi Vida,Marc Anthony,3,LOVE,12009,salsa,76,0.877,0.656,0.349,0.894,4.21,0
2g8HN35AnVGIk7B8yMucww,Big Poppa,The Notorious B.I.G.,Ready To Die The Remaster,LOVE,12009,hardcore,49,0.671,0.765,0.0506,0.798,4.21,1
5tVA6TkbaAH9QMITTQRrNv,Free Fallin',Tom Petty,Full Moon Fever,80s-90s,12010,folk,0,0.504,0.619,0.06,0.568,4.27,0
3LTMnFa0hhwisyq6ILahyj,Sultans Of Swing,Dire Straits,Dire Straits,80s-90s,12010,rock,81,0.794,0.733,0.33,0.931,5.81,0
2wVXSc0IrQVodHESUxVUJA,Losing My Religion,R.E.M.,Out Of Time,80s-90s,12010,alt-rock,0,0.854,0.666,0.0986,0.803,4.47,0
2MLHyLy5z5l5YRp7momlgw,Island In The Sun,Weezer,Weezer (Green Album),80s-90s,12010,alt-rock,1,0.794,0.654,0.165,0.678,3.34,0
4YPhn26bIFm2KUkL1VLzQG,Say It Ain't So,Weezer,Weezer,80s-90s,12010,alt-rock,1,0.551,0.635,0.07,0.451,4.28,0
3Cx4yrFaX8CeHwBMReOWXI,We Didn't Start the Fire,Billy Joel,Storm Front,80s-90s,12010,piano,76,0.967,0.712,0.356,0.895,4.8,0
6N1EjQjnvhOjFrF6oUmGPa,Summer Of '69,Bryan Adams,Reckless,80s-90s,12010,rock,82,0.834,0.508,0.0732,0.774,3.62,0
3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,Van Morrison,Blowin' Your Mind!,80s-90s,12010,folk,80,0.583,0.491,0.406,0.908,3.06,0
48UPSzbZjgc449aqz8bxox,Californication,Red Hot Chili Peppers,Californication,80s-90s,12010,alt-rock,2,0.765,0.592,0.127,0.327,5.5,0
027h5P3kCyktHv9dpHUBBS,Why Don't You Get A Job,The Offspring,Americana,80s-90s,12010,punk-rock,2,0.882,0.766,0.281,0.547,2.87,1
51T1wGHtx6hXW89UCzw1Rc,Pretty Fly (For A White Guy),The Offspring,Americana,80s-90s,12010,punk-rock,75,0.895,0.723,0.0717,0.963,3.14,1
4EnkwZd0UJAuHpNMMemQaA,Closing Time,Semisonic,Feeling Strangely Fine,80s-90s,12010,alt-rock,0,0.854,0.478,0.115,0.274,4.56,0
3BGbqEDio3ocx1v4egIYr6,Walk Like an Egyptian,The Bangles,Different Light,80s-90s,12010,disco,63,0.891,0.724,0.3,0.818,3.41,0
3TZwjdclvWt7iPJUnMpgcs,Jump Around,House Of Pain,House of Pain (Fine Malt Lyrics),80s-90s,12010,hard-rock,65,0.71,0.854,0.166,0.818,3.58,0
6ORqU0bHbVCRjXm9AjyHyZ,Good Riddance (Time of Your Life),Green Day,Nimrod,80s-90s,12010,punk,0,0.432,0.449,0.161,0.645,2.56,0
5nkYHBWXu7KCgcdwP6jcB1,What I Got,Sublime,Sublime,80s-90s,12010,punk,1,0.693,0.804,0.314,0.654,2.85,0
3354J49VpkbZJho7Ztdzpw,Jumper - 1998 Edit,Third Eye Blind,Third Eye Blind,80s-90s,12010,grunge,67,0.543,0.599,0.291,0.624,4.55,0
42et6fnHCw1HIPSrdPprMl,Semi-Charmed Life,Third Eye Blind,Third Eye Blind,80s-90s,12010,grunge,75,0.864,0.64,0.123,0.701,4.47,0
5wTMQjEx9LWeFwLjolPCUy,What's My Age Again?,blink-182,Blink 182 (Sound and Vision Q4 2007),80s-90s,12010,punk-rock,4,0.951,0.391,0.0878,0.468,2.48,0
43NhiKnrtGqztxDqXrcUux,Adam's Song,blink-182,Enema Of The State,80s-90s,12010,punk-rock,0,0.775,0.52,0.364,0.383,4.16,0
12qZHAeOyTf93YAWvGDTat,All The Small Things,blink-182,Enema Of The State,80s-90s,12010,punk-rock,2,0.9,0.442,0.395,0.609,2.8,0
5YScXJKtefsgdskIy60N7A,Tubthumping,Chumbawamba,Tubthumper,80s-90s,12010,punk,2,0.871,0.608,0.363,0.61,4.65,0
5DiXcVovI0FcY2s0icWWUu,Mr. Jones,Counting Crows,August And Everything After,80s-90s,12010,alt-rock,0,0.836,0.571,0.182,0.73,4.54,0
0EMmVUYs9ZZRHtlADB88uz,Come On Eileen,Dexys Midnight Runners,Too Rye Ay,80s-90s,12010,ska,2,0.769,0.45,0.306,0.604,4.79,0
5Go4h6tyle7zUCZXf1fET4,My Adidas,RunD.M.C.,Discover Further,80s-90s,12010,hardcore,32,0.773,0.819,0.292,0.756,2.82,0
5lXcSvHRVjQJ3LB2rLKQog,Superstition - Single Version,Stevie Wonder,Song Review: A Greatest Hits Collection,80s-90s,12010,funk,0,0.745,0.637,0.0372,0.859,3.99,0
4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,WALK THE MOON,TALKING IS HARD,Getting ready,12011,alt-rock,83,0.866,0.578,0.257,0.619,3.32,0
6vECYJHxYmm3Ydt3fF01pE,Stolen Dance,Milky Chance,Sadnecessary,Getting ready,12011,german,80,0.581,0.884,0.0759,0.728,5.23,0
7lGKEWMXVWWTt3X71Bv44I,Unsteady,X Ambassadors,VHS,Getting ready,12011,alt-rock,74,0.665,0.389,0.116,0.199,3.23,0
0yD66650JxhqKbW76C2qCo,Country Girl (Shake It For Me),Luke Bryan,Tailgates & Tanlines,Country,12012,country,2,0.904,0.644,0.0834,0.672,3.76,0
0BCy325UZyR9z0t0uxwn2N,H.O.L.Y.,Florida Georgia Line,Dig Your Roots,Country,12012,country,71,0.666,0.523,0.0728,0.564,3.24,0
75p6fgACKYIyIhsoG411SZ,Hey Pretty Girl,Kip Moore,Up All Night,Country,12012,country,0,0.373,0.431,0.259,0.0884,3.6,0
0p1BcEcYVO3uk4KDf3gzkY,Wanted,Hunter Hayes,Hunter Hayes (Encore),Country,12012,country,0,0.475,0.414,0.0816,0.3,3.81,0
3gbBpTdY8lnQwqxNCcf795,Pompeii,Bastille,Bad Blood,Happy tunes,12013,rock,1,0.711,0.68,0.241,0.571,3.57,0
4eLSCSELtKxZwXnFbNLXT5,On Top Of The World,Imagine Dragons,Night Visions,Happy tunes,12013,rock,0,0.925,0.588,0.0881,0.759,3.16,0
6g1NlCpW7fgqDnWbCCDrHl,Wake Me Up - Radio Edit,Avicii,True,Happy tunes,12013,dance,1,0.807,0.524,0.212,0.62,4.12,0
6Z8R6UsFuGXGtiIxiD8ISb,Safe And Sound,Capital Cities,In A Tidal Wave Of Mystery,Happy tunes,12013,rock,83,0.819,0.655,0.104,0.766,3.21,0
4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,WALK THE MOON,TALKING IS HARD,Happy tunes,12013,alt-rock,83,0.866,0.578,0.257,0.619,3.32,0
7dQGDSVjt1vS6BsDURjYhS,Treasure - Cash Cash Radio Mix,Bruno Mars,Treasure Remix EP,Happy tunes,12013,dance,2,0.944,0.664,0.766,0.745,3.47,0
203zTFd1zbfG0fiOG9OREv,Tell Me I'm A Wreck,Every Avenue,Picture Perfect,baelist,12014,emo,64,0.76,0.578,0.142,0.7,3.67,0
4xuToNvDiZHnDQVujjK49s,Spirit of the Living God,Vertical Worship,Church Songs,worship,12016,world-music,54,0.531,0.368,0.639,0.166,5.66,0
1CvoOXxJqC2VHwgjZxjGX5,Good Good Father,Chris Tomlin,The Ultimate Playlist,worship,12016,alt-rock,66,0.587,0.429,0.108,0.164,4.89,0
1rIKgCH4H52lrvDcz50hS8,Lush Life,Zara Larsson,So Good,All ,12017,dance,78,0.712,0.694,0.211,0.799,3.35,0
0PDUDa38GO8lMxLCRc4lL1,PILLOWTALK,ZAYN,Mind Of Mine (Deluxe Edition),All ,12017,dance,78,0.7,0.584,0.0939,0.438,3.38,1
4Hf7WnR761jpxPr5D46Bcd,Treat You Better,Shawn Mendes,Illuminate,All ,12017,dance,84,0.819,0.444,0.107,0.747,3.13,0
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,Back from the Edge,All ,12017,pop,85,0.557,0.358,0.0902,0.494,3.52,0
1vvNmPOiUuyCbgWmtc6yfm,My Way,Calvin Harris,My Way,All ,12017,electro,76,0.913,0.818,0.161,0.536,3.65,0
1oew3nFNY3vMacJAsvry0S,Me And My Broken Heart,Rixton,Let The Road,All ,12017,dance,79,0.783,0.545,0.132,0.551,3.23,0
4BHzQ9C00ceJxfG16AlNWb,Send My Love (To Your New Lover),Adele,25,All ,12017,british,72,0.533,0.688,0.172,0.567,3.72,0
7bJwvubZZaoGE1AGEfu8Fi,One Last Time,Ariana Grande,My Everything,All ,12017,dance,83,0.593,0.628,0.096,0.104,3.29,0
6nsLzJfvp5OLd4mgqUJkpq,Waiting For Love,Avicii,Stories,All ,12017,dance,81,0.736,0.579,0.198,0.613,3.84,0
2TRFIQpTqq12xGpFJEr0Ft,Worth It,Fifth Harmony,Reflection,All ,12017,dance,64,0.78,0.858,0.133,0.602,3.74,0
2DpCdPMg1BADE4HDnxt3Rd,"Sit Still, Look Pretty",Daya,"Sit Still, Look Pretty",All ,12017,dance,63,0.787,0.655,0.178,0.554,3.37,0
0OwX5aROoW1Iip8FV51Efg,Alarm,Anne-Marie,Alarm,All ,12017,dance,0,0.589,0.756,0.176,0.811,3.43,0
7wMq5n8mYSKlQIGECKUgTX,Hall of Fame,The Script,#3 Deluxe Version,All ,12017,rock,60,0.872,0.511,0.0975,0.511,3.38,0
5g7rJvWYVrloJZwKiShqlS,Dirty Paws,Of Monsters and Men,My Head Is An Animal,autumn,12018,folk,70,0.649,0.359,0.0555,0.133,4.64,0
3Yr2wHzUq7ncX04RjBWt4g,Au Revoir,OneRepublic,Native,autumn,12018,piano,38,0.528,0.517,0.123,0.108,4.84,0
3duP6mBVDsHM8ioN7o7dAK,Boondocks,Little Big Town,The Road To Here,Country Roads,12019,country,0,0.78,0.406,0.474,0.687,4.54,0
0U4R6UqrJo43TmImPku9H8,Heartland - Pure Country/Soundtrack Version,George Strait,Pure Country,Country Roads,12019,country,0,0.89,0.449,0.112,0.696,2.3,0
2xYlyywNgefLCRDG8hlxZq,"Take Me Home, Country Roads",John Denver,"The John Denver Collection, Vol. 1: Take Me Home Country Roads",Country Roads,12019,country,73,0.395,0.462,0.121,0.625,3.3,0
3UwT4FadEGWyMdaSwYcUBY,This Town,Niall Horan,Flicker,????,12020,dance,80,0.401,0.677,0.116,0.195,3.88,0
2mjqNvy3WT62V1mVZjK1nQ,El Mismo Sol,Alvaro Soler,Eterno Agosto,????,12020,latin,1,0.829,0.733,0.0831,0.975,3.13,0
1oc4kHthIpfa2jQnIL33GE,Let's Hurt Tonight,OneRepublic,Oh My My,????,12020,piano,63,0.713,0.359,0.324,0.272,3.24,0
03f7xZmt2wHCIDJBFPK8G4,Soap,Melanie Martinez,Cry Baby,????,12020,electro,0,0.689,0.594,0.129,0.209,3.49,0
72jbDTw1piOOj770jWNeaG,Paris,The Chainsmokers,Memories...Do Not Open,????,12020,dance,74,0.658,0.653,0.0939,0.219,3.69,0
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,÷,????,12020,pop,86,0.652,0.825,0.0931,0.931,3.9,0
0ZAiqymvbQUZAh9y6ZT3Rm,XO,EDEN,i think you think too much of me,????,12020,indie-pop,67,0.39,0.611,0.118,0.617,2.66,0
26ZX2JrAb8AFbr8FFfAsO7,sex,EDEN,i think you think too much of me,????,12020,indie-pop,66,0.521,0.413,0.323,0.532,3.65,0
7rqyZM53JpYj86avtfmyeg,My Type,Saint Motel,My Type,????,12020,alt-rock,70,0.896,0.595,0.0748,0.567,3.44,0
7i2DJ88J7jQ8K7zqFX2fW8,Now Or Never,Halsey,hopeless fountain kingdom,????,12020,indie-pop,67,0.585,0.67,0.131,0.447,3.58,0
0wfbD5rAksdXUzRvMfM3x5,The One,The Chainsmokers,Memories...Do Not Open,????,12020,edm,59,0.303,0.76,0.294,0.15,2.96,0
3Gda1sTo2ZjbztjjsnAsP3,Slip Away,Perfume Genius,No Shape,????,12020,psych-rock,53,0.509,0.603,0.0627,0.572,2.76,0
7N0osVtma3QzvMOfVbdSL8,Weather,Novo Amor,"Woodgate, NY",????,12020,ambient,62,0.242,0.527,0.114,0.112,3.87,0
2tznHmp70DxMyr2XhWLOW0,Cigarette Daydreams,Cage The Elephant,Melophobia,????,12020,blues,79,0.676,0.636,0.0831,0.273,3.48,0
6oXUzxFOfdXbD8ivAfAraN,Love Is Mystical,Cold War Kids,LA DIVINE,????,12020,blues,60,0.863,0.567,0.207,0.722,3.57,0
2HL7EWAjEm5Bhpr1iWHA4C,Cold Little Heart - Radio Edit,Michael Kiwanuka,Cold Little Heart,????,12020,british,70,0.58,0.629,0.436,0.655,3.5,0
3QyPsavxL681NX7SPVGd5T,Sway (Quien Sera),Dean Martin,"Dean Martin: The Capitol Recordings, Vol. 5 (1954)",Classy,12021,jazz,59,0.239,0.601,0.0748,0.569,2.75,0
2ekn2ttSfGqwhhate0LSR0,New Rules,Dua Lipa,Dua Lipa,oct,12022,dance,81,0.7,0.762,0.153,0.608,3.48,0
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,Birds In The Trap Sing McKnight,oct,12022,hip-hop,84,0.728,0.841,0.149,0.43,4.06,0
7iL6o9tox1zgHpKUfh9vuC,In Da Club,50 Cent,Get Rich Or Die Tryin',trap,12023,hip-hop,83,0.713,0.899,0.0708,0.777,3.22,1
3b0EOvScbZUc0qJx0E1L2z,I Want You Back,The Jackson 5,Diana Ross Presents The Jackson 5,Feel Good Music,12024,soul,77,0.538,0.469,0.37,0.886,2.94,0
6RrXd9Hph4hYR4bf3dbM6H,My Girl,The Temptations,The Temptations Sing Smokey,Feel Good Music,12024,funk,79,0.418,0.572,0.0961,0.694,2.75,0
6cb0HzFQPN4BGADOmSzPCw,ABC,The Jackson 5,ABC,Feel Good Music,12024,soul,0,0.869,0.53,0.233,0.935,2.91,0
5lXcSvHRVjQJ3LB2rLKQog,Superstition - Single Version,Stevie Wonder,Song Review: A Greatest Hits Collection,Feel Good Music,12024,funk,0,0.745,0.637,0.0372,0.859,3.99,0
6pyzBTIjcO2AMkKE6x2Otb,Stayin' Alive,Bee Gees,Greatest,Feel Good Music,12024,disco,77,0.535,0.707,0.0884,0.641,4.76,0
3zByVQLvdXUaDTubfWkpCk,Sweet Caroline,Neil Diamond,Sweet Caroline,Feel Good Music,12024,folk,78,0.127,0.529,0.237,0.578,3.39,0
4Z1fbYp0HuxLBje4MOZcSD,Twist And Shout - Remastered 2009,The Beatles,Please Please Me,Feel Good Music,12024,british,75,0.849,0.482,0.0414,0.937,2.59,0
3Vby4nGmtbDo7HDJamOWkT,Stuck In The Middle With You,Stealers Wheel,Stealers Wheel,Feel Good Music,12024,folk,0,0.759,0.768,0.0531,0.96,3.48,0
6b8IKVufOkAawvQVguQxmo,I Will Survive,Gloria Gaynor,Universal Masters Collection,Feel Good Music,12024,disco,0,0.775,0.77,0.297,0.8,3.29,0
2dCmGcEOQrMQhMMS8Vj7Ca,Super Freak,Rick James,Street Songs,Feel Good Music,12024,disco,3,0.796,0.857,0.0503,0.944,3.42,0
1OsCKwNZxph96EkNusILRy,Get Down On It - Single Version,Kool & The Gang,The Very Best Of Kool & The Gang,Feel Good Music,12024,disco,1,0.627,0.879,0.056,0.968,3.55,0
3H7sv3Krffn15BufUuXzf3,Hey Jude - Remastered 2015,The Beatles,1,Feel Good Music,12024,british,74,0.607,0.386,0.088,0.532,7.09,0
5wiu4PUC6CLNNbC48vqGOb,Celebration,Kool & The Gang,Celebrate!,Feel Good Music,12024,disco,1,0.782,0.857,0.0495,0.899,4.98,0
49fzPkBb3aOUWYRKaTWVhm,Hit the Road Jack,Ray Charles,Georgia On My Mind,Feel Good Music,12024,blues,70,0.571,0.598,0.513,0.962,1.97,0
7rqyZM53JpYj86avtfmyeg,My Type,Saint Motel,My Type,ALEX,12025,alt-rock,70,0.896,0.595,0.0748,0.567,3.44,0
68pN2UQYhwQgPy7VrCFKuV,In Too Deep,Sum 41,"All Killer, No Filler",ALEX,12025,punk,76,0.844,0.568,0.0607,0.766,3.45,1
7GJClzimvMSghjcrKxuf1M,Budapest,George Ezra,Wanted On Voyage,ALEX,12025,folk,79,0.455,0.717,0.11,0.389,3.35,0
3SqOC9IRDYGSq9cH6K2GQI,The Anthem,Good Charlotte,Good Charlotte/The Young And The Hopeless,ALEX,12025,metal,74,0.939,0.494,0.139,0.893,2.92,0
5oQcOu1omDykbIPSdSQQNJ,1985,Bowling For Soup,A Hangover You Don't Deserve,ALEX,12025,punk-rock,71,0.887,0.606,0.337,0.903,3.22,0
6ihL9TjfRjadfEePzXXyVF,Gives You Hell,The All-American Rejects,When The World Comes Down,ALEX,12025,punk-rock,0,0.675,0.725,0.0537,0.595,3.55,0
2vW5tqS1EFel9yYOQ7WZmE,Ex's & Oh's,Elle King,Love Stuff,ALEX,12025,blues,73,0.921,0.612,0.0576,0.446,3.37,0
1mia2jUSO5ea1Pe7xmsLV0,Indian Summer,Jai Wolf,Indian Summer,ALEX,12025,edm,58,0.825,0.435,0.0845,0.0425,4.14,0
4sPmO7WMQUAf45kwMOtONw,Hello,Adele,25,ALEX,12025,british,74,0.43,0.578,0.0854,0.288,4.92,0
6Wytqpe4mfmyeT8s1xbczG,Something In The Way You Move,Ellie Goulding,Delirium,ALEX,12025,dance,0,0.804,0.66,0.129,0.359,3.79,0
1rIKgCH4H52lrvDcz50hS8,Lush Life,Zara Larsson,So Good,ALEX,12025,dance,78,0.712,0.694,0.211,0.799,3.35,0
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Twenty One Pilots,Blurryface,ALEX,12025,rock,85,0.637,0.734,0.0602,0.648,3.37,0
